target.effect,orig.study.number,rep.study.number,orig.N,orig.ES.type,orig.ES,orig.ES.CI,rep.N,rep.ES.type,rep.ES,rep.ES.CI,rep.outcome,IVs,DVs,rep.type,rep.effort.type,rep.method.differences,rep.active.sample.evidence,other.outcomes,ES.description,EC.URL,orig.study.article.URL,orig.study.article.DOI,rep.study.article.URL,rep.pre.reg.URL,rep.open.materials.URL,rep.open.data.URL,orig.open.data.URL,orig.open.materials.URL,orig.pre.reg.URL,rep.population,discipline,orig.study.pub.year,reporting.standard.used,effect.description,design,statistical.effect.type,orig.test.statistic,orig.pvalue,rep.outcome.bayesian,orig.article.title,RPP.orig.untransformed.ES,RPP.rep.untransformed.ES,RPP.interpretation,RPP.study.number,study.order.CS,rep.num.in.set,social.priming,include.in.HTML.table,rep.num
rebel vs obedient liking effect,Monin et al. (2008) Study 4,Holubar & Frank (2015),67,r,.35,.22,75,r,.16,.22,no signal - consistent,,,very close,RPP #1,,,,,,http://www.ask-force.org/web/Discourse/Monin-Rejection-Moral-Rebels-2008.pdf,10.1037/0022-3514.95.1.76,https://osf.io/a4fmg/,,https://osf.io/pz0my/,https://osf.io/pz0my/,,,,,social,2008,,Decreased liking for rebels compared to obedient confederates (in non-self-affirmed control condition) eliminated in self-affirmed condition,"ANOVA, omnibus",main effect,"F(2, 64) = 10.17",<.01,,The rejection of moral rebels: Resenting those who do the right thing.,η²(N=67) = .241,η²(N=75) = .052,unsuccessful,43,1,1,,yes,1
implicit-explicit correspondence effect,Payne et al. (2008) Study 4,Vianello (2015),70,r,.35,.22,180,r,.15,.14,"signal - inconsistent, smaller",,,very close,RPP #2,,,,,,https://pdfs.semanticscholar.org/0b28/0b8e08cd35cce13fc6cca1a25dc2b9a7e696.pdf,10.1037/0022-3514.94.1.16,https://osf.io/79y8g/,,https://osf.io/rc6mv/,https://osf.io/rc6mv/,,,,,social,2008,,Positive relation between indirect ratings (AMP) and direct ratings (of Black vs. White faces) stronger in low (compared to high) pressure to respond in socially desirable manner conditions.,hierarchical multiple linear regression,correlation,t(67) = 3.08,<.01,,Why do implicit and explicit attitude tests diverge? The role of structural fit.,R²(N=70) = .09,R²(N=180) = .016,successful,44,2,2,,yes,2
young acquiescent variability effect,"Soto, John et al. (2008) Study 1",Soderberg (2015),230047,r,.02,0,455326,r,.02,0,signal - consistent,,,very close,RPP #3,,,,,,https://pdfs.semanticscholar.org/0f4f/d4199114ba21c832edc1800d92fd5c5f4034.pdf,10.1037/0022-3514.94.4.718,https://osf.io/6zdct/,,https://osf.io/kez47/,https://osf.io/kez47/,,,,,social,2008,,Younger respondents show greater variability (variance) in acquiescent response tendencies than older respondents.,Levene's test for equality of variance,main effect,"F(21, 230025) = 118.15",<.001,,"The developmental psychometrics of big five self-reports: Acquiescence, factor structure, coherence, and differentiation from ages 10 to 20.","F(21, 230025)(N=230047) = 118.15","F(21, 455304)(N=455326) = 261.93",successful,46,3,3,,yes,3
anxious attachment mortality effect,"Cox, Arndt et al. (2008) Study 6","Wissink, Zeelenberg et al. (2015)",100,r,.23,.19,200,r,-.05,.14,no signal - inconsistent,,,very close,RPP #4,,,,,,,,https://osf.io/uhnd2/,,https://osf.io/5tbxf/,https://osf.io/5tbxf/,,,,,social,2008,,Increased relative preference for parent among mortality-salience induced Ps scoring low on avoidance but high on anxiety compared to control conditions (dental pain),independent samples t-test,main effect,t(92)= -2.22,0.03,,Terror management and adults' attachment to their parents: The safe haven remains.,f²(N=100) = .289,f²(N=200) = .05,unsuccessful,48,4,4,,yes,4
action priming boosts cognitive performance,Albarracin  et al. (2008) Study 5,"Kim, Frank et al. (2015)",36,r,.38,.30,88,r,-.03,.21,no signal - inconsistent,,,very close,RPP #5,,,,,,https://pdfs.semanticscholar.org/dac5/23772e965444540d31e0fb743464fbb56b0e.pdf?_ga=2.187221102.756229126.1510337183-1264817730.1510337183,10.1037/a0012833,https://osf.io/2pbaf/,,https://osf.io/vy1bc/,https://osf.io/vy1bc/,,,,,social,2008,,Ps primed with action words correctly solved higher number of SAT-type verbal and math problems than Ps primed with inaction words.,ANOVA,main effect,"F(1, 34) = 5.68",0.02,,Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.,η²(N=36) = .143,η²(N=88) = .001,unsuccessful,49,5,5,yes,yes,5
action priming boosts # of thoughts effect,Albarracin  et al. (2008) Study 7,Voracek & Sonnleitner (2015),98,r,.21,.19,109,r,.16,.19,no signal - consistent,,,very close,RPP #6,German instead of English language,,,,,https://pdfs.semanticscholar.org/dac5/23772e965444540d31e0fb743464fbb56b0e.pdf?_ga=2.187221102.756229126.1510337183-1264817730.1510337183,10.1037/a0012833,https://osf.io/xbyqd/,,https://osf.io/rgm6p/,https://osf.io/rgm6p/,,,,,social,2008,,"Action-word primed Ps completing an inactive task generated a greater number of thoughts compared to inaction-primed Ps completing an active task, with no difference in thoughts in control conditions. ",between ANOVA,interaction,"F(2, 92) = 4.36",0.02,,Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.,η²(N=98) = .087,η²(N=105) = .049,unsuccessful,50,6,6,yes,yes,6
affective incoherence effect,"Centerbar, Schnall et al. (2008) Study 5","Humphries, Brown et al. (2015)",133,r,.21,.16,113,r,.09,.18,no signal - consistent (imprecise),,,very close,RPP #7,,,,,,https://pdfs.semanticscholar.org/7f67/facff28bac9ae369ec0e635863c25fa147e3.pdf?_ga=2.187221102.756229126.1510337183-1264817730.1510337183,10.1037/0022-3514.94.4.560,https://osf.io/wcgx5/,,https://osf.io/l8srm/,https://osf.io/l8srm/,,,,,social,2008,,Affective coherence increased cognitive complexity in participant-generated narratives compared to affective incoherence.,RM ANOVA,interaction,"F(1, 131) = 5.79",<.02,,Affective incoherence: When affective concepts and embodied reactions clash.,η²(N=133) = .040,η²(N=113) = .014,unsuccessful,52,7,7,,yes,7
intergroup bias regulation effect,"Amodio, Devine et al. (2008) Study 2","Johnson, Graham et al. (2015)",48,r,.38,.25,75,r,.08,.23,no signal - inconsistent,,,very close,RPP #8,,,,,,https://pdfs.semanticscholar.org/f071/dae9159b3f93e540c928692dfbd6097bc1bf.pdf?_ga=2.187221102.756229126.1510337183-1264817730.1510337183,10.1037/0022-3514.94.1.60,https://osf.io/ysxmf/,,https://osf.io/wkgpq/,https://osf.io/wkgpq/,,,,,social,2008,,Low-prejudice Ps whose non-prejudiced responses were motivated by internal (but not external) factors exhibited better control on a stereotype-inhibition task than did Ps motivated by a combination of internal and external factors.,mixed ANOVA,interaction,"F(1, 31) = 5.14",0.03,,Individual differences in the regulation of intergroup bias: The role of conflict monitoring and neural signals for control.,η²(N=48) = .16,η²(N=75) = .006,unsuccessful,53,8,8,,yes,8
action-oriented mindset dissonance effect,Harmon-Jones et al. (2008) Study 2,Gable & Mechin (2015),57,r,.23,.26,71,r,.07,.24,no signal - consistent,,,very close,RPP #9,,,,,,https://pdfs.semanticscholar.org/df6f/78f60a3aef237604e02636657343f0e4e974.pdf?_ga=2.227535963.756229126.1510337183-1264817730.1510337183,10.1037/0022-3514.94.1.1,https://osf.io/zpwne/,,https://osf.io/su6bm/,https://osf.io/su6bm/,,,,,social,2008,,"Action-oriented mindset caused attitude changes from pre- to post-decision to both chosen and rejected alternatives, whereas positive-nonaction and neutral mindsets caused attitude changes solely to rejected alternative. ",RM ANOVA,interaction,"F(2, 54) = 3.19",<.05,,Left frontal cortical activation and spreading of alternatives: Tests of the action-based model of dissonance.,η²(N=57) = .11,η²(N=71) = .01,unsuccessful,55,9,9,,yes,9
anger communication bargaining effect,"van Dijk, van Kleef et al. (2008) Study 3",Voracek & Slowik (2015),103,r,.38,.17,83,r,-.04,.22,no signal - inconsistent (imprecise),,,very close,RPP #10,,,,,,https://pdfs.semanticscholar.org/16af/db45ada4a1951aa464be49ef82ac6eebf0c1.pdf?_ga=2.227535963.756229126.1510337183-1264817730.1510337183,10.1037/0022-3514.94.4.600,https://osf.io/2idfu/,,https://osf.io/xtsq6/,https://osf.io/xtsq6/,,,,,social,2008,,"Ps made lower bargaining offers to angry (compared to happy) recipients than happy, but only when consequences of rejection were low. ",ANOVA,main effect,"F(1, 99) = 16.62",<.0001,,A social functional approach to emotions in bargaining: when communicating anger pays and when it backfires.,η²(N=103) = .143,d(N=83) = .082,unsuccessful,56,10,10,,yes,10
walking on eggshells effect,Lemay & Clark (2008a) Study 5,Baranski (2015),186,r,.17,.14,280,r,.04,.12,no signal - inconsistent,,,very close,RPP #11,,,,,,https://pdfs.semanticscholar.org/7d50/911e5a1e8199449e74e82ab7515c33695ff8.pdf?_ga=2.227535963.756229126.1510337183-1264817730.1510337183,10.1037/0022-3514.95.2.420,https://osf.io/efjn3/,,https://osf.io/ke43j/,https://osf.io/ke43j/,,,,,social,2008,,"Ps believed confederate's expressions were happier than their private feelings, but only in vulnerable conditions. ",RM ANOVA,interaction,"F(1, 182) = 5.24",<.05,,Walking on eggshells: How expressing relationship insecurities perpetuates them.,η²(N=186) = .028,η²(N=280) = .001,unsuccessful,58,11,11,,yes,11
head liberates heart effect,Lemay & Clark (2008b) Study 5,"Marigold, Forest et al. (2015)",153,R²,.68,,216,b,.72,,signal - consistent,,,very close,RPP #12,,,,,,https://pdfs.semanticscholar.org/7b10/2f1d04ba874821f66569d41683070b783bd5.pdf?_ga=2.227535963.756229126.1510337183-1264817730.1510337183,10.1037/0022-3514.94.4.647,https://osf.io/mv3i7/,,https://osf.io/h84qd/,https://osf.io/h84qd/,,,,,social,2008,,Ps own responsiveness was a significant predictor of their perception of their partners' responsiveness.,multilevel model,regression,b = .68,<.001,,How the head liberates the heart: Projection of communal responsiveness guides relationship promotion.,level 1 R²(N=153) = .68,b(N=216) = .72,successful,59,12,12,,yes,12
poignancy effect,Ersner-Hershfield et al. (2008) Study 2,"Talhelm, Eggleston, & Lee (2015a)",110,r,.22,.18,222,r,.00,.14,no signal - inconsistent,,,very close,RPP #13,,,,,,https://pdfs.semanticscholar.org/72a0/2b6869a1330a4090a9ddfb21674c6a0e21fe.pdf?_ga=2.139570293.756229126.1510337183-1264817730.1510337183,10.1037/0022-3514.94.1.158,https://osf.io/fw6hv/,,https://osf.io/sq8k9/,https://osf.io/sq8k9/,,,,,social,2008,,Ps (college seniors) reminded they were experiencing their last day as students at graduation reported fewer mixed emotions than Ps not reminded.,independent-samples t-test,main effect,t(108) = -2.34,<.05,,Poignancy: Mixed emotional experience in the face of meaningful endings.,d(N=110) = +.45,d(N=222) = -.01,unsuccessful,61,13,13,,yes,13
modulation of 1/f noise racial bias emission effect,Correll (2008) Study 2,LeBel (2015) Study 1,71,r,.27,.22,148,r,.07,.16,no signal - inconsistent,avoid/use race information vs. control instructions,1/f noise (weapon identification task),very close,RPP #14,Canadian rather than US undergraduates; keyboard used instead of response box;,Racial bias (in terms of RT) higher in use and avoid race (compared to control) conditions (d = .34 ± .35); 1/f noise observed within each of the 3 conditions (p<.0001),,,,https://github.com/eplebel/science-commons/blob/master/curated/correll(2008).pdf,10.1037/0022-3514.94.1.48,https://osf.io/hzka3/,,https://osf.io/fejxb/,https://osf.io/fejxb/,,,,,social,2008,,Ps in use-race or avoid-race instruction conditions exhibited less 1/f noise (as reflected in PSD slopes) on WIT than Ps in a control condition.,between ANOVA using planned orthogonal contrasts,contrast,"F(1, 68) = 5.52",<.02,,1/f noise and effort on implicit measures of bias.,d(N=71) = +.59 ± .51,d(N=148) = +.16 ± .34,unsuccessful,63,14,14,,yes,14
