doi,title,authorIDs,year,journalID,editor,reviewers,abstract,numStudies,keywords,ev,replicationOf,replications,repLink,data,dataSourceLogo,materials,materialSourceLogo,prereg,preRegSourceLogo,disclosure,disclSourceLogo,replBadge,dataAvailBadge,reprodAnalBadge,matAvailBadge,preRegBadge,disclBadge,recentlyUpdated,mostComplete
10.1037/a0027598,Physical burdens of secrecy,"1,2,3,4",2012,15,Unknown at this time.,Unknown at this time. | Unknown at this time.,"The present work examined whether secrets are experienced as physical burdens, thereby influencing perception and action. Four studies examined the behavior of people who harbored important secrets, such as secrets concerning infidelity and sexual orientation. People who recalled, were preoccupied with, or suppressed an important secret estimated hills to be steeper, perceived distances to be farther, indicated that physical tasks would require more effort, and were less likely to help others with physical tasks. The more burdensome the secret and the more thought devoted to it, the more perception and action were influenced in a manner similar to carrying physical weight. Thus, as with physical burdens, secrets weigh people down.",4,"secrets,embodiment,metaphor,perception,action","{'&#935<sup>2</sup>(?) = ?', 'p < ?'} | {'IC-index = ?', 'CI95% = ?'} | {'p<sub>TES</sub> =?'}",NA,10.3758/s13423-013-0549-2 | scicom1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0
10.3758/s13423-013-0549-2,Big secrets do not necessarily cause hills to appear steeper,"5,6",2013,1,Cathleen Moore,Unknown at this time. | Unknown at this time.,"Slepian, Masicampo, Toosi, and Ambady (Journal of Experimental Psychology: General, 141, 619-624, 2012, Study 1) found that individuals recalling and writing about a big, meaningful secret judged a pictured hill as steeper than did those who recalled and wrote about a small, inconsequential secret (with estimates unrelated to physical effort unaffected). From an embodied cognition perspective, this result was interpreted as suggesting that important secrets weigh people down. Answering to mounting calls for the crucial need of independent direct replications of published findings to ensure the self-correcting nature of our science, we sought to corroborate Slepian et al.'s finding in two extremely high-powered, preregistered studies that were very faithful to all procedural and methodological details of the original study (i.e., same cover story, study title, manipulation, measures, item order, scale anchors, task instructions, sampling frame, population, and statistical analyses). In both samples, we were unsuccessful in replicating the target finding. Although Slepian et al. reported three other studies supporting the secret burdensomeness phenomenon, we advise that these three other findings need to be independently corroborated before the general phenomenon informs theory or health interventions.",2,"Embodied cognition,Secrecy,Concealment of secrets,Independent direct replication","{'&#935<sup>2</sup>(?) = ?', 'p < ?'} | {'IC-index = ?', 'CI95% = ?'} | {'p<sub>TES</sub> =?'}",doi: 10.1037/a0027598,scicom1,"[[1,1,1],[1,2,1]]","<a href='https://osf.io/api/v1/project/w6kv5/node/butpa/osffiles/results_deIdentified.sav/version/1/'>results_deIdentified.sav</a>, <a href='https://osf.io/api/v1/project/w6kv5/node/butpa/osffiles/mainSyntax_OSF.sps/version/1/'>mainSyntax_OSF.sps</a> | <a href='https://osf.io/api/v1/project/euzwh/node/efytw/osffiles/results_deIdentified.sav/version/1/'>results_deIdentified.sav</a>, <a href='https://osf.io/api/v1/project/euzwh/node/efytw/osffiles/mainSyntax_OSF.sps/version/1/'>mainSyntax_OSF.sps</a>, <a href='https://osf.io/efytw/osffiles/CIs_uriReplicationStandard.R/'>CIs_uriReplicationStandard.R</a>, <a href='https://osf.io/api/v1/project/w6kv5/node/butpa/osffiles/simonsohnApproachFigure.xlsx/version/1/'>simonsohnApproachFigure.xlsx</a>",figshare.png,<a href='https://osf.io/api/v1/project/w6kv5/osffiles/ReplicationProtocol_for_Slepian_et_al._2012_Replication_1_-_LeBel.doc/version/1/'>ReplicationProtocol_Replication_1_-_LeBel.doc</a> | <a href='https://osf.io/api/v1/project/euzwh/osffiles/ReplicationProtocol_for_Slepian_et_al._2012_Replication_2_-_LeBel.doc/version/1/'>ReplicationProtocol_Replication_2_-_LeBel.doc</a>,osf.png,<a href='https://osf.io/tvszz/'>PreregistrationProtocol</a> | <a href='https://osf.io/54v2d/'>PreregistrationProtocol</a>,osf.png,Exclusions: Full Disclosure | Measures: Full Disclosure | Conditions: Full Disclosure | Sample size: Full Disclosure,psiDiscl.png,0,1,1,1,1,1,2,1
scicom1,Independent replication of Slepian et al. (2012) Study #1,"7,8,9",2013,14,Unknown at this time.,Unknown at this time. | Unknown at this time.,NA,1,"Embodied cognition,Secrecy,Concealment of secrets,Independent direct replication","{'&#935<sup>2</sup>(?) = ?', 'p < ?'} | {'IC-index = ?', 'CI95% = ?'} | {'p<sub>TES</sub> =?'}",doi: 10.1037/a0027598,NA,"[[1,1,1]]",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,3,0
10.1126/science.1130726,Washing away your sins: Threatened morality and physical cleansing,"10,11",2006,2,Unknown at this time.,Unknown at this time. | Unknown at this time.,"Physical cleansing has been a focal element in religious ceremonies for thousands of years. The prevalence of this practice suggests a psychological association between bodily purity and moral purity. In three studies, we explored what we call the 'Macbeth effect' --that is, a threat to one's moral purity induces the need to cleanse oneself. This effect revealed itself through an increased mental accessibility of cleansingrelated concepts, a greater desire for cleansing products, and a greater likelihood of taking antiseptic wipes. Furthermore, we showed that physical cleansing alleviates the upsetting consequences of unethical behavior and reduces threats to one's moral self-image. Daily hygiene routines such as washing hands, as simple and benign as they might seem, can deliver a powerful antidote to threatened morality, enabling people to truly wash away their sins.",4,"Moral purity, Physical cleansing, Moral self-image, Cleansing products, Psychological association","{'&#935<sup>2</sup>(?) = ?', 'p < ?'} | {'IC-index = ?', 'CI95% = ?'} | {'p<sub>TES</sub> =?'}",NA,10.5209/rev_SJOP.2011.v14.n1.13 | scicom2 | scicom3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,4,3
10.5209/rev_SJOP.2011.v14.n1.13,The uncertain universality of the 'Macbeth Effect' with a Spanish sample,"12,13,14",2011,3,Unknown at this time.,Unknown at this time. | Unknown at this time.,"Recently a psychological mechanism has been proposed between bodily purity and moral purity: the 'Macbeth effect'. The act of washing their hands seems to free individuals of their guilt. However, the universality of this psychological mechanism is an empirical question that should be studied. In four studies we replicated the original Zhong & Liljenquist�s experiments with Spanish samples. We were unsuccessful in replicating the Zhong & Liljenquist�s results that supported cleansing as a psychological mechanism for compensating guilty: results couldn�t confirm an increased mental accessibility of cleansing-related concepts or even a greater desire for cleansing products, neither a greater likelihood of taking antiseptic wipes. In addition we didn�t find that physical cleansing alleviates the upsetting consequences of unethical behaviour. Spanish samples showed sensibility to morality and helping behaviour but not with cleansing as a way to reduce their threatened morality",4,"Morality, Social Cognition, Interpersonal sensibility, Guilt, Macbeth effect","{'&#935<sup>2</sup>(?) = ?', 'p < ?'} | {'IC-index = ?', 'CI95% = ?'} | {'p<sub>TES</sub> =?'}",10.1126/science.1130726,NA,"[[1,1,2],[2,2,2],[3,3,2],[4,4,2]]",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,5,0
scicom2,"Out, damned spot: Can the 'Macbeth Effect' be replicated?","15,16,17,18",In press,4,Unknown at this time.,Unknown at this time. | Unknown at this time.,"In a much-publicized paper, Zhong and Liljenquist (2006) reported evidence that feelings of moral cleanliness are grounded in feelings of physical cleanliness: a threat to peopleﾒs moral purity leads them to seek, literally, to cleanse themselves. In an attempt to replicate and build upon these findings, we conducted a pilot study in which we unexpectedly failed to replicate the original results from the second study of Zhong and Liljenquistﾒs report. To investigate the source of this issue, we conducted a series of direct replications of Study 2 as reported in Zhong and Liljenquist (2006). We used the authorsﾒ original materials and methods; we investigated samples that were more representative of the general population than in the original experiments; we investigated samples from different countries and cultures; and we substantially increased the power of our statistical tests. Nevertheless, we still failed to replicate Zhong and Liljenquistﾒs initial reported findings. Our research suggests that more work is needed to clarify the scope and robustness of the original results",3,"Macbeth Effect, Replication, Replication crisis, Conceptual replication, Moral psychology, Purity, Embodied cognition, Zhong & Liljenquist","{'&#935<sup>2</sup>(?) = ?', 'p < ?'} | {'IC-index = ?', 'CI95% = ?'} | {'p<sub>TES</sub> =?'}",10.1126/science.1130726,NA,"[[2,1,1],[2,2,1],[2,3,1]]",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,6,0
scicom3,Is cleanliness next to godliness? Dispelling old wives tales: Failure to replicate Zhong & Liljenquist (2006),"19,20,21,22",2009,5,Unknown at this time.,Unknown at this time. | Unknown at this time.,"Two conceptual replications of research by Zhong and Liljenquist (2006) are reported. The conceptual replications were carried out by two independent laboratories that did not collaborate or communicate with one another about the current studies. Study 1 (N = 210) replicated a study by Zhong and Liljenquist (2006) showing that participants who recalled their unethical behavior expressed a heightened desire to physically cleanse themselves with the addition of an assessment of personality traits. Study 2 (N = 119) replicated a second study by Zhong and Liljenquist (2006) in which they showed that recalling unethical behavior followed by actual physical cleansing led to a reduction in moral emotion with the addition of several new conditions to investigate alternative explanations for the effect. Despite larger samples and thus greater power to detect effects, both studies failed to replicate the original work of Zhong and Liljenquist (2006).",2,NA,"{'&#935<sup>2</sup>(?) = ?', 'p < ?'} | {'IC-index = ?', 'CI95% = ?'} | {'p<sub>TES</sub> =?'}",10.1126/science.1130726,NA,"[[3,1,2],[4,2,2]]",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,7,0
10.1037/a0021524,Feeling the future: Experimental evidence for anomalous retroactive influences on cognition and affect,"23,",2011,6,Unknown at this time.,Unknown at this time. | Unknown at this time.,"The term psi denotes anomalous processes of information or energy transfer that are currently unexplained in terms of known physical or biological mechanisms. Two variants of psi are precognition (conscious cognitive awareness) and premonition (affective apprehension) of a future event that could not otherwise be anticipated through any known inferential process. Precognition and premonition are themselves special cases of a more general phenomenon: the anomalous retroactive influence of some future event on an individual's current responses, whether those responses are conscious or nonconscious, cognitive or affective. This article reports 9 experiments, involving more than 1,000 participants, that test for retroactive influence by 'time-reversing' well-established psychological effects so that the individual's responses are obtained before the putatively causal stimulus events occur. Data are presented for 4 time-reversed effects: precognitive approach to erotic stimuli and precognitive avoidance of negative stimuli; retroactive priming; retroactive habituation; and retroactive facilitation of recall. The mean effect size (d) in psi performance across all 9 experiments was 0.22, and all but one of the experiments yielded statistically significant results. The individual-difference variable of stimulus seeking, a component of extraversion, was significantly correlated with psi performance in 5 of the experiments, with participants who scored above the midpoint on a scale of stimulus seeking achieving a mean effect size of 0.43. Skepticism about psi, issues of replication, and theories of psi are also discussed.",9,"ESP, parapsychology, precognition, psi, retrocausation, affect, premonition, cognition","{'&#935<sup>2</sup>(?) = ?', 'p < ?'} | {'IC-index = ?', 'CI95% = ?'} | {'p<sub>TES</sub> =?'}",NA,10.1037/a0029709 | 10.1037/a0022790 | 10.1371/journal.pone.0033423,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,8,4
10.1037/a0029709,Correcting the past: Failures to replicate psi,"24,25,8,26",2012,6,Unknown at this time.,Unknown at this time. | Unknown at this time.,"Across 7 experiments (N   3,289), we replicate the procedure of Experiments 8 and 9 from Bem (2011), which had originally demonstrated retroactive facilitation of recall. We failed to replicate that finding. We further conduct a meta-analysis of all replication attempts of these experiments and find that the average effect size (d   0.04) is no different from 0. We discuss some reasons for differences between the results in this article and those presented in Bem (2011).",7,"psi, precognition, ESP, researcher degrees of freedom, meta-analysis","{'&#935<sup>2</sup>(?) = ?', 'p < ?'} | {'IC-index = ?', 'CI95% = ?'} | {'p<sub>TES</sub> =?'}",10.1037/a0021524,NA,"[[8,1,2],[8,2,2],[8,3,1],[9,4,1],[9,5,1],[9,6,2],[8,7,3]]",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,9,0
10.1037/a0022790,An agenda for purely confirmatory research,"27,28,29,30,31",2012,8,Unknown at this time.,Unknown at this time. | Unknown at this time.,"The veracity of substantive research claims hinges on the way experimental data are collected and analyzed. In this article, we discuss an uncomfortable fact that threatens the core of psychologyﾒs academic enterprise: almost without exception, psychologists do not commit themselves to a method of data analysis before they see the actual data. It then becomes tempting to fine tune the analysis to the data in order to obtain a desired resultﾗa procedure that invalidates the interpretation of the common statistical tests. The extent of the fine tuning varies widely across experiments and experimenters but is almost impossible for reviewers and readers to gauge. To remedy the situation, we propose that researchers preregister their studies and indicate in advance the analyses they intend to conduct. Only these analyses deserve the label 'confirmatory,' and only for these analyses are the common statistical tests valid. Other analyses can be carried out but these should be labeled 'exploratory.' We illustrate our proposal with a confirmatory replication attempt of a study on extrasensory perception.",1,"Confirmatory experiments, Wonky statistics, ESP, Bayesian hypothesis test","{'&#935<sup>2</sup>(?) = ?', 'p < ?'} | {'IC-index = ?', 'CI95% = ?'} | {'p<sub>TES</sub> =?'}",10.1037/a0021524,NA,"[[1,1,4]]",NA,NA,NA,NA,<a href='http://confrep.blogspot.nl/2011/06/we-start-testing.html'>Preregistration Protocol</a>,blogger.png,NA,NA,0,0,0,0,1,0,10,0
