Area,Effect,Original,/ Replication Study Authors,Effect Size (± 95% CI),Active Sample Evidence / Positive Controls,Effect Description,Design Differences,IVs,DVs,Other Outcomes
Relationships / Evolutionary Psychology,,,,,,,,,,
,Commitment causally influences forgiveness effect (RRR6),,,,,High commitment priming (writing about interdependence to partner) increases forgiveness on hypothetical betrayals compared to low commitment priming (writing about independence),,,,
,,Finkel et al. (2002) Study 1 (Exit forgiveness),,MD = -.65 ± .45,*MD = mean difference,,,,,Same pattern of results for other 3 DVs
1,,,Bredow & Luna (2016),MD = -.42 ± .38,α = .90 on subjective commitment measure,,,,,
1,,,"Carson, Corretti, Kane & Ackerman (2016)",MD = -.26 ± .39,α = .92 on subjective commitment measure,,,,,
1,,,Yong & Li (2016),MD = -.25 ± .46,α = .91 on subjective commitment measure,,,,,
1,,,"Goldberg, Sinclair, Ritchey et al. (2016)",MD = -.23 ± .38,α = .91 on subjective commitment measure,,,,,
1,,,"Cheung, Campbell & LeBel (2016)",MD = -.22 ± .41,α = .91 on subjective commitment measure,,,,,
1,,,"Fuglestad, Leone & Kim (2016)",MD = -.21 ± .58,α = .92 on subjective commitment measure,,,,,
1,,,"Vranka, Bahnik, & Houdek (2016)",MD = -.12 ± .43,α = .93 on subjective commitment measure,,,,,
1,,,"Collins, Bowen, Winczewski et al. (2016)",MD = -.11 ± .42,α = .94 on subjective commitment measure,,,,,
1,,,DiDonato & Golom (2016),MD = -.04 ± .49,α = .91 on subjective commitment measure,,,,,
1,,,Sucharyna & Morry (2016),MD = -.03 ± .45,α = .90 on subjective commitment measure,,,,,
1,,,Carcedo & Fernandez-Rouco (2016),MD = +.03 ± .39,α = .86 on subjective commitment measure,,,,,
1,,,"Aykutoglu, Gündogdu-Aktürk et al. (2016)",MD = +.12 ± .43,α = .93 on subjective commitment measure,,,,,
1,,,Hoplock & Stinson (2016),MD = +.16 ± .35,α = .88 on subjective commitment measure,,,,,
1,,,"Cobb, Pink, Millman & Logan (2016)",MD = +.16 ± .38,α = .90 on subjective commitment measure,,,,,
1,,,Caprariello (2016),MD = +.23 ± .43,α = .90 on subjective commitment measure,,,,,
1,,,Tidwell & Kraus (2016),MD = +.29 ± .46,α = .90 on subjective commitment measure,,,,,
,Sex differences in distress to infidelity (part of SP:Special Issue),,,,,Men are more distressed by sexual (cf. emotional) infidelity whereas women are more distressed by emotional (cf. sexual) infidelity,,,,
,,Buss et al. (1999) Study 2 (Young),,d = +1.30 ± .28,,,,,,
1,,,IJzerman et al. (2014) Study 1 (Young),d = +1.11 ± .50,,,,,,
1,,,IJzerman et al. (2014) Study 2 (Young),d = +0.30 ± .28,,,,,,
1,,,IJzerman et al. (2014) Study 4 (Young),d = +0.50 ± .12,,,,,,
,,Shackelford et al. (2004) (Old),,d = +0.57 ± .28,,,,,,
1,,,IJzerman et al. (2014) Study 3 (Old),d = -0.09 ± .34,,,,,,
1,,,IJzerman et al. (2014) Study 4 (Old),d = +0.05 ± .28,,,,,,
,Playboy effect,,,,,"Opposite-sex nudes exposure decreases love among men, but not women",,,,
,,Kenrick et al. (1989) Study 2,,Δd = -.53 ± .64,*Δd = d_men - d_women,,,Playboy centerfolds vs. control; Participant sex,Love for partner (Rubin Love-scale),
1,,,Balzarini et al. (2015) Study 1,Δd = +.29 ± .46,Nudes rated as more pleasant than abstract art,,Updated pictures of abstract art & male/female nudes; Two attention check questions,Playboy centerfolds vs. control; Participant sex,Love for partner (Rubin Love-scale),
1,,,Balzarini et al. (2015) Study 2,Δd = +.30 ± .42,Nudes rated as more pleasant than abstract art,,Updated pictures of abstract art & male/female nudes; Two attention check questions,Playboy centerfolds vs. control; Participant sex,Love for partner (Rubin Love-scale),
1,,,Balzarini et al. (2015) Study 3,Δd = -.38 ± .46,Nudes rated as more pleasant than abstract art,,Updated pictures of abstract art & male/female nudes; Two attention check questions,Playboy centerfolds vs. control; Participant sex,Love for partner (Rubin Love-scale),
,Romeo and Juliet effect (part of SP:Special Issue),,,,,,,,,
,,Driscoll et al. (1972),,r = +.34 ± .32,,Increases in parental interference positively associated with increases in love over time,,,,
1,,,Sinclair et al. (2014),r = -.05 ± .10,"Parental interference negatively associated with partner trust, r = -.18, p < .001",,,,,"Two other outcomes (commitment, trust)"
Self / Emotions,,,,,,,,,,
,Facial feedback hypothesis (RRR5),,,,,Holding pen in one's mouth (smile) increases perceived funniness of cartoons compared to holding pen with one's lips (pout).,,,,
,,Strack et al. (1988) Study 1,,MD = +.82 ± .77,*MD = mean difference,,,,,
1,,,Özdogru (2016),MD = -.58 ± .83,,,New set of Far Side cartoons normed to be moderately funny; instructions via video to minimize experimenter effects; sessions filmed to allow for manipulation check; minor wording change for funniness rating scale,,,
1,,,Oosterwijk et al. (2016),MD = -.24 ± .52,,,New set of Far Side cartoons normed to be moderately funny; instructions via video to minimize experimenter effects; sessions filmed to allow for manipulation check; minor wording change for funniness rating scale,,,
1,,,Wayand (2016),MD = -.20 ± .54,,,New set of Far Side cartoons normed to be moderately funny; instructions via video to minimize experimenter effects; sessions filmed to allow for manipulation check; minor wording change for funniness rating scale,,,
1,,,Koch (2016),MD = -.19 ± .54,,,New set of Far Side cartoons normed to be moderately funny; instructions via video to minimize experimenter effects; sessions filmed to allow for manipulation check; minor wording change for funniness rating scale,,,
1,,,Pacheco-Unguetti et al. (2016),MD = -.13 ± .63,,,New set of Far Side cartoons normed to be moderately funny; instructions via video to minimize experimenter effects; sessions filmed to allow for manipulation check; minor wording change for funniness rating scale,,,
1,,,Capaldi et al. (2016),MD = -.11 ± .58,,,New set of Far Side cartoons normed to be moderately funny; instructions via video to minimize experimenter effects; sessions filmed to allow for manipulation check; minor wording change for funniness rating scale,,,
1,,,Chasten et al. (2016),MD = -.05 ± .60,,,New set of Far Side cartoons normed to be moderately funny; instructions via video to minimize experimenter effects; sessions filmed to allow for manipulation check; minor wording change for funniness rating scale,,,
1,,,Benning et al. (2016),MD = -.02 ± .50,,,New set of Far Side cartoons normed to be moderately funny; instructions via video to minimize experimenter effects; sessions filmed to allow for manipulation check; minor wording change for funniness rating scale,,,
