Area,Effect,Original,/ Replication Study Authors,Effect Size (± 95% CI),Active Sample Evidence / Positive Controls,Effect Description,Design Differences,IVs,DVs,Other Outcomes
,Ego depletion effect (includes RRR4),,,,,,,,,
,,"Gaillot, Baumeister et al. (2007) Study 7",,d = -1.19 ± .52,,Glucose consumption counteracts ego depletion,,sugar vs. splenda; video attention task vs. control,Stroop performance,
,,,Cesario & Corker (2010),d = +0.22 ± .34,"Positive correlation between baseline & post-manipulation error rates, r = .36, p < .001",,No manipulation check,sugar vs. splenda; video attention task vs. control,Stroop performance,
,,Wang & Dvorak (2010),,d = -0.99 ± .52,,,,sugar vs. splenda; future-discounting t1 vs. t2,future-discounting task,
,,,Lange & Eggert (2014) Study 1,d = +0.13 ± .48,Test-retest reliability of r = .80 across t1 and t2 scores,,Different choices in future-discounting task,sugar vs. splenda; future-discounting t1 vs. t2,future-discounting task,
,,"Muraven, Tice et al. (1998) Study 2",,d = -0.75 ± .71,,Self-control impairs further self-control (ego depletion),,thought suppression vs. control,anagram performance,
,,,Murtagh & Todd (2004) Study 2,d = -0.01 ± .55,,,"Very difficult solvable anagrams used rather than ""unsolvable""",thought suppression vs. control,anagram performance,
,,"Schmeichel, Vohs et al. (2003) Study 1",,d = -1.58 ± .98,,,,video attention task vs. control,GRE standardized test,
,,,Pond et al. (2011) Study 3,d = -0.35 ± .52,,,10 verbal GRE items used (instead of 13 analytic GRE items),video attention task vs. control,GRE standardized test,
,,Schmeichel (2007) Study 1,,d = -0.37 ± .44,,,,video attention task vs. control,working memory (OSPAN),
,,,Healy et al. (2011) Study 1,d = -1.31 ± .71,,,% of target words recalled (rather than total),video attention task vs. control,working memory (OSPAN),
,,,Carter & McCullough (2013),d = +0.05 ± .45,,,Effortful essay task vs. control in between IV and DV (perfectly confounded w/ IV),video attention task vs. control,working memory (OSPAN),
,,,Lurquin et al. (2016),d = +0.21 ± .28,"Main effect of OSPAN set sizes on performance, F(1, 199) = 4439.81, p < .001",,40 target words in OSPAN (rather than 48),video attention task vs. control,working memory (OSPAN),
,,Inzlicht & Gutsell (2007),,d = -1.06 ± .71,,,,emotion suppression (video) vs. control,EEG ERN during stroop task,
,,,"Wang, Yang, & Wang (2014)",d = -0.93 ± .73,,,,emotion suppression (video) vs. control,EEG ERN during stroop task,
,,"Sripada, Kessler, & Jonides (2014)",,d = -0.69 ± .59,,,,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
,,,Ringos & Carlucci (2016),d = -0.50 ± .48,,,,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
,,,"Wolff, Muzzi & Brand (2016)",d = -0.46 ± .43,,,German language,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
,,,Calvillo & Mills (2016),d = -0.44 ± .56,,,,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
,,,"Crowell, Finley et al. (2016)",d = -0.40 ± .46,,,,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
,,,"Lynch, vanDellen et al. (2016)",d = -0.36 ± .44,,,,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
,,,Birt & Muise (2016),d = -0.31 ± .52,,,,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
,,,"Yusainy, Wimbarti et al. (2016)",d = -0.22 ± .31,,,Indonesian language,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
,,,Lau & Brewer (2016),d = -0.20 ± .40,,,,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
,,,"Ullrich, Primoceri et al. (2016)",d = -0.09 ± .39,,,German language,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
,,,Elson (2016),d = -0.04 ± .42,,,German language,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
,,,"Cheung, Kroese et al. (2016)",d = -0.04 ± .29,,,Dutch language,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
,,,Hagger et al. (2016),d = +0.00 ± .39,,,,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
,,,"Schlinkert, Schrama et al. (2016)",d = +0.00 ± .44,,,Dutch language,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
,,,Philipp & Cannon (2016),d = +0.04 ± .45,,,,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
,,,Carruth & Miyake (2016),d = +0.09 ± .36,,,,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
,,,Brandt (2016),d = +0.11 ± .39,,,Dutch language,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
,,,"Stamos, Bruyneel et al. (2016)",d = +0.12 ± .41,,,Dutch language,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
,,,"Rentzsch, Nalis et al. (2016)",d = +0.18 ± .39,,,German language,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
,,,Francis & Inzlicht (2016),d = +0.18 ± .56,,,,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
,,,"Lange, Heise et al. (2016)",d = +0.23 ± .38,,,German language,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
,,,"Evans, Fay, & Mosser (2016)",d = +0.27 ± .42,,,,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
,,,Tinghög & Koppel (2016),d = +0.40 ± .43,,,,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
,,,"Otgaar, Martijn et al. (2016)",d = +0.41 ± .50,,,Dutch language,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
,,,"Muller, Zerhouni et al. (2016)",d = +0.51 ± .46,,,French language,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
Attitudes & Stereotypes,,,,,,,,,,
,"NFC amplifies strong argument persuasion effect (ELM, part of ML3)",,,,,,,,,
,,Cacioppo et al. (1983) Study 1,,"ηp² = .170 [.06,.29]",,"Interaction effect: Strong arguments more persuasive than weak arguments (on average), which is amplified at high levels of Need for Cognition (NFC)",,,,
,,,"Wirth (2016, OSUNewark)","ηp² = .000 [.00,.00]",,,,,,
,,,"Fletcher et al. (2016, UofSM)","ηp² = .000 [.00,.01]",,,,,,
,,,"Devos et al. (2016, SDSU)","ηp² = .001 [.00,.02]",,,,,,
,,,"Vaughn (2016, Ithaca)","ηp² = .001 [.00,.04]",,,,,,
,,,"Banks et al. (2016, NovaSU)","ηp² = .001 [.00,.04]",,,,,,
,,,"German et al. (2016, UCDavis)","ηp² = .001 [.00,.04]",,,,,,
,,,"Re et al. (2016, UofT)","ηp² = .001 [.00,.06]",,,,,,
,,,"Capaldi et al. (2016, Carleton)","ηp² = .001 [.00,.08]",,,,,,
,,,"Davis & Hicks (2016, TexasA&M)","ηp² = .002 [.00,.04]",,,,,,
,,,"Brown et al. (2016, UofF)","ηp² = .002 [.00,.04]",,,,,,
,,,"Grahe et al. (2016, PLU)","ηp² = .002 [.00,.05]",,,,,,
,,,"Bernstein (2016, PSA)","ηp² = .003 [.00,.05]",,,,,,
,,,"Hermann et al. (2016, Bradley)","ηp² = .004 [.00,.06]",,,,,,
,,,"Baranski et al. (2016, UCRiverside)","ηp² = .005 [.00,.04]",,,,,,
,,,"Ebersole et al. (2016, UofV)","ηp² = .005 [.00,.05]",,,,,,
,,,"Johnson et al. (2016, MichiganSU)","ηp² = .006 [.00,.06]",,,,,,
,,,"Bonfiglio et al. (2016, Ashland)","ηp² = .007 [.00,.08]",,,,,,
,,,"Allen (2016, MontanaSU)","ηp² = .009 [.00,.07]",,,,,,
,,,"Belanger et al. (2016, Miami)","ηp² = .010 [.00,.08]",,,,,,
,,,"Cairo et al. (2016, VCU)","ηp² = .024 [.00,.11]",,,,,,
,1/f noise racial bias moderation effect,,,,,,,,,
,,Correll (2008),,d = +.59 ± .51,,Use/avoid race conditions increases effort (via 1/f noise) on racial bias task (weapon identification task),,,,
,,,Madurksi & LeBel (2015) Study 1,d = +.16 ± .34,Racial bias (in terms of RT) higher in use and avoid race (compared to control) conditions (d = .34 ± .35),,,,,
,,,Madurksi & LeBel (2015) Study 2,d = -.09 ± .34,Racial bias (in terms of RT) higher in use and avoid race (compared to control) conditions (d = .44 ± .35),,,,,
Applied Findings,,,,,,,,,,
,Verbal overshadowing (RRR1 & RRR2),,,,,,,,,
,,Schooler & Eng...-Schooler (1990) Study 1 (RRR2),,IRD = -25% ± 20%,,*IRD = Identification rate difference,,,,
,,,Poirer et al. (2014) Study 2,IRD = -29% ± 20%,,,,,,
,,,Delvenne et al. (2014) Study 2,IRD = -26% ± 19%,,,,,,
,,,Birt & Aucoin (2014) Study 2,IRD = -25% ± 24%,,,,,,
,,,Susa et al. (2014) Study 2,IRD = -24% ± 18%,,,,,,
,,,Carlson et al. (2014) Study 2,IRD = -24% ± 15%,,,,,,
,,,Musselman & Colarusso (2014) Study 2,IRD = -23% ± 24%,,,,,,
