Site,First,Third,N,Prop,d,r
AshlandUniversity,33,44,77,0.428571429,-0.29,-0.14349931
BradleyUniversity,56,56,112,0.5,0,0
CarletonUniversity,21,16,37,0.567567568,0.27,0.133786376
IthacaCollege,38,48,86,0.441860465,-0.23,-0.114247023
MiamiUniversity,55,36,91,0.604395604,0.42,0.205517234
MichiganStateUniversity,151,152,303,0.498349835,-0.01,-0.004999938
MontanaStateUniversity,60,56,116,0.517241379,0.07,0.034978582
NovaSoutheasternUniversity,60,62,122,0.491803279,-0.03,-0.014998313
OSUNewark,72,76,148,0.486486486,-0.05,-0.024992191
PacificLutheranUniversity,58,41,99,0.585858586,0.35,0.172380332
PennStateAbington,48,55,103,0.466019417,-0.14,-0.069829128
SanDiegoStateUniversity,67,66,133,0.503759398,0.01,0.004999938
TexasAandM,84,87,171,0.49122807,-0.03,-0.014998313
UCDavis,68,46,114,0.596491228,0.39,0.191395051
UCRiverside,120,97,217,0.552995392,0.21,0.10442593
UniversityOfFlorida,62,67,129,0.480620155,-0.08,-0.039968038
UniversityOfSouthernMississippi,42,38,80,0.525,0.1,0.049937617
UniversityOfToronto,42,36,78,0.538461538,0.15,0.074789948
UniversityOfVirginia,102,88,190,0.536842105,0.15,0.074789948
VirginiaCommonwealthUniversity,51,40,91,0.56043956,0.24,0.119145221
mTurk,322,269,591,0.544839255,0.18,0.089637699
