Site,EtaInter,rInter,EtaMain,rMain,N1,N2,NT
AshlandUniversity,0.067521041,0.259848111,0.086406074,0.293949101,42,42,84
BradleyUniversity,0.001619694,-0.040245419,0.006076246,0.077950281,67,53,120
CarletonUniversity,0.005063702,-0.071159694,0.012566392,0.112099919,22,22,44
IthacaCollege,0.033292277,0.182461713,0.003069373,-0.055401927,46,46,92
MiamiUniversity,0.032996787,-0.181650177,0.003105101,0.055723434,41,52,93
MichiganStateUniversity,0.005146987,0.071742506,0.005364874,0.0732453,161,155,316
MontanaStateUniversity,0.011867554,-0.108938302,0.066090939,0.257081581,62,62,124
NovaSoutheasternUniversity,0.001833219,-0.042816101,0.003075876,0.055460577,72,58,130
OSUNewark,0.001063058,-0.032604569,5.41E-06,0.002324946,69,86,155
PacificLutheranUniversity,0.047522724,0.217997074,0.011195913,-0.10581074,54,49,103
PennStateAbington,0.017415228,0.131966769,0.007981796,0.089340898,52,67,119
SanDiegoStateUniversity,0.005053124,-0.07108533,0.000591317,0.024317006,72,66,138
TexasAandM,0.000396935,0.019923238,0.004799528,0.069278625,88,90,178
UCDavis,0.008355953,-0.091410904,0.005523863,0.074322694,52,65,117
UCRiverside,0,0,0.011353175,0.106551279,123,120,243
UniversityOfFlorida,7.33E-05,0.008560203,0.000106859,0.010337253,69,67,136
UniversityOfSouthernMississippi,0.031097167,0.176343889,0.007906044,-0.088915938,46,43,89
UniversityOfToronto,0.004903237,-0.070023118,0.034307228,-0.185222104,50,30,80
UniversityOfVirginia,2.50E-06,0.001581137,0.067237051,0.259301082,93,99,192
VirginiaCommonwealthUniversity,0.004115217,0.064149959,0.005778636,0.076017337,46,48,94
mTurk,0.000797932,-0.028247684,0.006682062,0.081743882,293,346,639
