Site,Ncommunal,NAgentic,MCommunal,MAgentic,SDCommunal,SDAgentic
AshlandUniversity,37,42,69.514,70.667,4.641,3.836
BradleyUniversity,70,46,69.671,70.130,3.941,4.598
CarletonUniversity,21,16,67.000,67.375,7.162,5.277
IthacaCollege,38,45,67.447,66.200,4.518,4.934
MiamiUniversity,54,40,70.352,70.600,2.672,2.790
MichiganStateUniversity,161,137,69.640,69.336,3.906,4.310
MontanaStateUniversity,54,68,70.148,69.897,4.306,4.921
NovaSoutheasternUniversity,57,72,74.877,75.250,4.591,4.151
OSUNewark,70,83,69.543,70.265,3.802,4.701
PacificLutheranUniversity,49,44,68.163,69.000,4.478,5.447
PennStateAbington,50,62,69.040,69.484,4.755,6.314
SanDiegoStateUniversity,69,65,73.145,73.462,5.326,5.062
TexasAandM,83,89,74.072,73.899,2.917,3.388
UCDavis,54,61,73.333,71.574,4.171,5.201
UCRiverside,110,127,73.500,74.008,3.521,3.749
UniversityOfFlorida,55,77,73.655,73.610,3.362,3.277
UniversityOfSouthernMississippi,42,45,72.714,71.689,4.820,4.111
UniversityOfToronto,30,40,73.567,72.325,4.313,5.250
UniversityOfVirginia,77,112,71.390,71.089,3.774,3.613
VirginiaCommonwealthUniversity,52,40,72.231,73.725,4.604,5.593
mTurk,282,293,71.596,71.055,5.376,5.090
