Site,NLight,NHeavy,MLight,MHeavy,SDLight,SDHeavy
AshlandUniversity,38,34,6.342,6.471,1.097,1.107
BradleyUniversity,56,53,6.13,6.346,1.26,0.883
CarletonUniversity,20,19,6.105,6,0.809,1.202
IthacaCollege,32,32,6.032,6.097,1.251,1.106
MiamiUniversity,42,40,5.951,6.1,1.341,1.194
MichiganStateUniversity,142,132,6.029,6.046,1.096,0.952
MontanaStateUniversity,56,53,6.182,6.075,1.038,0.958
NovaSoutheasternUniversity,45,40,6.244,6.575,0.957,0.549
OSUNewark,63,64,6.194,5.905,1.006,1.316
PacificLutheranUniversity,53,50,6.264,6.24,1.077,0.822
PennStateAbington,59,59,6.036,6.254,1.159,1.183
SanDiegoStateUniversity,64,67,6.359,6.239,0.721,1.28
TexasAandM,75,78,6.2,6.308,0.805,0.69
UCDavis,53,52,5.981,6,1.019,1.249
UCRiverside,107,105,6.178,6.144,1.008,1.136
UniversityOfFlorida,61,60,6,6.083,1,0.72
UniversityOfSouthernMississippi,38,41,6.243,6.3,1.116,1.114
UniversityOfToronto,36,37,6.083,5.75,0.806,1.105
UniversityOfVirginia,86,85,6.083,6.163,0.881,0.878
VirginiaCommonwealthUniversity,44,45,6.186,6.289,1.006,0.695
