"","V1","ori.ES.CIs","rep.ES.CIs"
"1","1","r(N=24) = .59 ± .29","r(N=29) = .15 ± .38"
"2","2","r(N=24) = .61 ± .28","r(N=24) = .23 ± .4"
"3","3","r(N=25) = .42 ± .35","r(N=32) = -.22 ± .35"
"4","4","r(N=240) = .23 ± .12","r(N=270) = -.01 ± .12"
"5","5","r(N=32) = .46 ± .3","r(N=48) = .13 ± .28"
"6","6","r(N=24) = .59 ± .29","r(N=32) = .4 ± .31"
"7","7","r(N=100) = .72 ± .1","r(N=15) = .13 ± .55"
"8","8","r(N=48) = .56 ± .2","r(N=33) = -.11 ± .36"
"9","10","r(N=32) = .7 ± .2","r(N=32) = .78 ± .16"
"10","11","r(N=22) = .67 ± .26","r(N=30) = .47 ± .3"
"11","12","r(N=48) = .18 ± .29","r(N=118) = .08 ± .18"
"12","13","r(N=36) = .52 ± .25","r(N=36) = .52 ± .25"
"13","15","r(N=95) = .2 ± .2","r(N=242) = .25 ± .12"
"14","17","r(N=39) = .3 ± .3","r(N=47) = .43 ± .24"
"15","19","r(N=32) = .56 ± .26","r(N=21) = .4 ± .4"
"16","20","r(N=96) = .22 ± .19","r(N=108) = .02 ± .19"
"17","22","r(N=18) = .22 ± .48","r(N=32) = .06 ± .36"
"18","24","r(N=154) = .36 ± .14","r(N=49) = .28 ± .26"
"19","25","r(N=24) = .35 ± .38","r(N=63) = .27 ± .24"
"20","26","r(N=16) = .16 ± .52","r(N=20) = .14 ± .46"
"21","27","r(N=32) = .38 ± .32","r(N=71) = .38 ± .2"
"22","28","r(N=32) = .34 ± .32","r(N=91) = .1 ± .21"
"23","29","r(N=8) = .74 ± .54","r(N=15) = .7 ± .32"
"24","32","r(N=37) = .62 ± .21","r(N=38) = .48 ± .26"
"25","33","r(N=40) = .52 ± .24","r(N=40) = .32 ± .3"
"26","36","r(N=24) = .71 ± .22","r(N=24) = .68 ± .25"
"27","37","r(N=12) = .55 ± .49","r(N=18) = .35 ± .45"
"28","39","r(N=68) = .37 ± .21","r(N=153) = .1 ± .16"
"29","43","r(N=67) = .35 ± .22","r(N=75) = .16 ± .22"
"30","44","r(N=70) = .35 ± .22","r(N=180) = .15 ± .14"
"31","46","r(N=230047) = .02 ± 0","r(N=455326) = .02 ± 0"
"32","48","r(N=100) = .23 ± .19","r(N=200) = -.05 ± .14"
"33","49","r(N=36) = .38 ± .3","r(N=88) = -.03 ± .21"
"34","50","r(N=98) = .21 ± .19","r(N=109) = .16 ± .19"
"35","52","r(N=133) = .21 ± .16","r(N=113) = .09 ± .18"
"36","53","r(N=48) = .38 ± .25","r(N=75) = .08 ± .23"
"37","55","r(N=57) = .23 ± .26","r(N=71) = .07 ± .24"
"38","56","r(N=103) = .38 ± .17","r(N=83) = -.04 ± .22"
"39","58","r(N=186) = .17 ± .14","r(N=280) = .04 ± .12"
"40","61","r(N=110) = .22 ± .18","r(N=222) = 0 ± .14"
"41","63","r(N=71) = .27 ± .22","r(N=148) = .07 ± .16"
"42","64","r(N=82) = .43 ± .18","r(N=71) = .11 ± .24"
"43","65","r(N=45) = .43 ± .25","r(N=135) = .01 ± .17"
"44","68","r(N=122) = .19 ± .17","r(N=226) = 0 ± .13"
"45","71","r(N=375) = .22 ± .1","r(N=177) = .07 ± .15"
