Area,Effect,Original,/ Replication Study Authors,Effect Size (± 95% CI),Protocol URL,OSF URL (Data/Materials),Subjectively Replicates?,Active Sample Evidence / Positive Controls
SOCIAL,,,,,,,,
,Decreased liking for rebels compared to obedient confederates (in non-self-affirmed control condition) eliminated in self-affirmed condition.,,,,,,,
,,Monin et al. (2008) Study 4,,η2 = .241,,,,
,,,Holubar & Frank (2015),η2 = .052,https://osf.io/a4fmg/,https://osf.io/pz0my/,no,
,Positive relation between indirect ratings (AMP) and direct ratings (of Black vs. White faces) stronger in low (compared to high) pressure to respond in socially desirable manner conditions.,,,,,,,
,,Payne et al. (2008) Study 4,,R^2 = .09,,,,
,,,Vianello (2015),R^2 = .016,https://osf.io/79y8g/,https://osf.io/rc6mv/,yes,
,Younger respondents show greater variability (variance) in acquiescent response tendencies than older respondents.,,,,,,,
,,"Soto, John et al. (2008) Study 1",,"F(21, 230025) = 118.15",,,,
,,,Soderberg (2015),"F(21, 455304) = 261.93",https://osf.io/6zdct/,https://osf.io/kez47/,yes,
,Increased relative preference for parent among mortality-salience induced Ps scoring low on avoidance but high on anxiety compared to control conditions (dental pain).,,,,,,,
,,"Cox, Arndt et al. (2008) Study 6",,f2 = .289,,,,
,,,"Wissink, Zeelenberg et al. (2015)",f2 = .05,https://osf.io/uhnd2/,https://osf.io/5tbxf/,no,
,Ps primed with action words correctly solved higher number of  SAT-type verbal and math problems than Ps primed with inaction words.,,,,,,,
,,Albarracin  et al. (2008) Study 5,,η2 = .143,,,,
,,,"Kim, Frank et al. (2015)",η2 = .001,https://osf.io/2pbaf/,https://osf.io/vy1bc/,no,
,"Action-word primed Ps completing an inactive task generated a greater number of thoughts compared to inaction-primed Ps completing an active task, with no difference in thoughts in control conditions.",,,,,,,
,,Albarracin  et al. (2008) Study 7,,η2 = .087,,,,
,,,Voracek & Sonnleitner (2015),η2 = .049,https://osf.io/xbyqd/,https://osf.io/rgm6p/,no,
,Affective coherence increased cognitive complexity in participant-generated narratives compared to affective incoherence.,,,,,,,
,,"Centerbar, Schnall et al. (2008) Study 5",,η2 = .040,,,,
,,,"Humphries, Brown et al. (2015)",η2 = .014,https://osf.io/wcgx5/,https://osf.io/l8srm/,no,
,Low-prejudice Ps whose non-prejudiced responses were motivated by internal (but not external) factors exhibited better control on a stereotype-inhibition task than did Ps motivated by a combination of internal and external factors ( and these group differences were specific to response control in the domain of prejudice).,,,,,,,
,,"Amodio, Devine et al. (2008) Study 2",,η2 = .16,,,,
,,,"Johnson, Graham et al. (2015)",η2 = .006,https://osf.io/ysxmf/,https://osf.io/wkgpq/,no,
,"Action-oriented mindset caused attitude changes from pre- to post-decision to both chosen and rejected alternatives, whereas positive-nonaction and neutral mindsets caused attitude changes solely to rejected alternative.",,,,,,,
,,Harmon-Jones et al. (2008) Study 2,,η2 = .11,,,,
,,,Gable & Mechin (2015),η2 = .01,https://osf.io/zpwne/,https://osf.io/su6bm/,no,
,"Ps made lower bargaining offers to angry (compared to happy) recipients than happy, but only when consequences of rejection were low.",,,,,,,
,,"van Dijk, van Kleef et al. (2008) Study 3",,η2 = .143,,,,
,,,Voracek & Slowik (2015),d = .082,https://osf.io/2idfu/,https://osf.io/xtsq6/,no,
,"Ps believed confederate's expressions were happier than their private feelings, but only in vulnerable conditions.",,,,,,,
,,Lemay & Clark (2008a) Study 5,,η2 = .028,,,,
,,,Baranski (2015),η2 = .001,https://osf.io/efjn3/,https://osf.io/ke43j/,no,
,Ps own responsiveness was a significant predictor of their perception of their partners' responsiveness.,,,,,,,
,,Lemay & Clark (2008b) Study 5,,level 1 R^2 = .68,,,,
,,,"Marigold, Forest et al. (2015)",b = .72,https://osf.io/mv3i7/,https://osf.io/h84qd/,yes,
,Ps (college seniors) reminded they were experiencing their last day as students at graduation reported fewer mixed emotions than Ps not reminded.,,,,,,,
,,Ersner-Hershfield et al. (2008) Study 2,,d = .45,,,,
,,,"Talhelm, Eggleston, & Lee (2015a)",d = -.01,https://osf.io/fw6hv/,https://osf.io/sq8k9/,no,
,Ps in use-race or avoid-race instruction conditions exhibited less 1/f noise (as reflected in PSD slopes) on WIT than Ps in a control condition.,,,,,,,
,,Correll (2008) Study 2,,d = +.59 ± .51,,,,
,,,LeBel (2015) Study 1,d = +.16 ± .34,https://osf.io/hzka3/,https://osf.io/fejxb/,no,
,,,LeBel (2015) Study 2,d = -.09 ± .34,https://osf.io/brwgc/,https://osf.io/iraqy/,no,
,Aggression priming increased perceptions of aggression (assimilation effect) among Ps whose processing style induced to be global (or control) whereas aggression priming decreased perceptions of aggression (contrast affect) among Ps whose processing style induced to be local.,,,,,,,
,,"Forster, Liberman et al. (2008) Study 1",,η2 = .362,,,,
,,,Reinhard (2015),η2 = .026,https://osf.io/sxnu6/,https://osf.io/mxryb/,no,
,Subtly asking Ps questions about their empathic understanding and capability of exhibiting similar transgressions reduced male (but not female) Ps' feelings of vengefulness.,,,,,,,
,,"Exline, Baumeister et al. (2008) Study 7",,η2 = .186,,,,
,,,Lin & Frank (2015),η2 = .001,https://osf.io/es7ub/,https://osf.io/imrx2/,no,
,Tempting fate effect (tempting fate increases perceived likelihood of negative outcomes) amplified under cognitive load compared to a control condition.,,,,,,,
,,Risen & Gilovich (2008) Study 6,,η2 = .035,,,,
,,,Mathur & Frank (2015),η2 = .000,https://osf.io/nwua6/,https://osf.io/sg3su/,no,
,"Ps recognized conveyed emotions as pride at an above chance level, no matter what culture target represented.",,,,,,,
,,Tracy & Robins (2008) Study 4,,Av. Proportion = .78,,,,
,,,Sullivan (2015),Av. proportion = .77,https://osf.io/9uqxr/,https://osf.io/qthf2/,yes,
,Ps correctly answering Wason's four-card selection task exhibited higher cognitive ability (SAT scores) than Ps answering card task incorrectly.,,,,,,,
,,Stanovich & West (2008) Study 8,,d = .493,,,,
,,,Baranski (2015),d = .15,https://osf.io/p3gz2/,https://osf.io/7ux8p/,no,
,"Strong arguments more persuasive than weak arguments among Ps forced to focus on important values in the messages, but no argument strength effect among Ps forced to focus on unimportant values.",,,,,,,
,,Blankenship & Wegener (2008) Study 5a,,η2 = .042,,,,
,,,Lemm (2015),η2 = .002,https://osf.io/v3e2z/,https://osf.io/2gx4k/,no,
,Bumper stickers of descriptive deviants rated as more popular than bumper stickers of prescriptive deviants.,,,,,,,
,,Morrison & Miller (2008) Study 3,,Φ (phi) = .32,,,,
,,,Motyl (2015),Φ (phi) = .20,https://osf.io/2jwi6/,https://osf.io/nhwv5/,yes,
,"Increased donations to HIV/AIDS initiative when emphasizing ""to-date"" information among Ps who hadn't yet donated, but emphasizing ""to-go"" information among Ps who had.",,,,,,,
,,Koo & Fishbach (2008) Study 4,,η2 = .041,,,,
,,,Kidwell & Dodson (2015),OR = .159,https://osf.io/68m2c/,https://osf.io/nr7d9/,no,
,Ps in one-sided focus condition exhibited less ambivalence than participants in two-sided focus condition.,,,,,,,
,,"Henderson, de Liver et al. (2008) Study 5",,η2 = .135,,,,
,,,Lane & Gazarian (2015),η2 = .048,https://osf.io/cjr7d/,https://osf.io/79dey/,no,
,"Ps in perpetrator condition reported higher need for social acceptance and reconciliation after moral acceptance was restored, whereas Ps in victim condition reported higher need for power and reconciliation after sense of power was restored (message x role interaction in after condition).",,,,,,,
,,Shnabel & Nadler (2008) Study 4,,η2 = .07,,,,
