experiment,condition_type,participantid,sensationseeking,bored,enjoysamemovies_reverseCoded,practice_hits,control_hits,total,practice_minus_control,practice_plus_control,DR_score,DR_score_%,,
1,NA,1,3.5,4,3,14,6,20,8,20,160,0.278,,
1,NA,2,2.5,3,2,12,3,15,9,15,135,0.234,,
1,NA,3,4,3,5,15,10,26,5,25,125,0.217,,
1,NA,4,3.5,5,2,18,14,32,4,32,128,0.222,,
1,NA,5,2,3,1,10,1,12,9,11,99,0.172,,
1,NA,6,2.5,2,3,13,8,21,5,21,105,0.182,,
1,NA,7,3.5,4,3,13,9,22,4,22,88,0.153,,
1,NA,8,1,1,1,12,8,21,4,20,80,0.139,,
1,NA,9,4,5,3,12,8,20,4,20,80,0.139,,
1,NA,10,2.5,3,2,11,7,19,4,18,72,0.125,,
1,NA,11,3.5,5,2,11,7,18,4,18,72,0.125,,
1,NA,12,2,3,1,16,14,30,2,30,60,0.104,,
1,NA,13,4.5,4,5,10,7,17,3,17,51,0.089,,
1,NA,14,1,1,1,13,11,24,2,24,48,0.083,,
1,NA,15,3.5,3,4,12,10,24,2,22,44,0.076,,
1,NA,16,1.5,2,1,12,10,22,2,22,44,0.076,,
1,NA,17,2.5,3,2,8,5,15,3,13,39,0.068,,
1,NA,18,2.5,3,2,8,5,13,3,13,39,0.068,,
1,NA,19,2.5,2,3,8,5,13,3,13,39,0.068,,
1,NA,20,2.5,4,1,10,8,19,2,18,36,0.063,,
1,NA,21,2,3,1,10,8,18,2,18,36,0.063,,
1,NA,22,2,2,2,10,8,18,2,18,36,0.063,,
1,NA,23,1.5,1,2,9,7,16,2,16,32,0.056,,
1,NA,24,2.5,2,3,9,7,16,2,16,32,0.056,,
1,NA,25,3.5,3,4,15,14,29,1,29,29,0.050,,
1,NA,26,3.5,3,4,8,6,14,2,14,28,0.049,,
1,NA,27,2.5,2,3,8,6,14,2,14,28,0.049,,
1,NA,28,2.5,3,2,8,6,16,2,14,28,0.049,,
1,NA,29,3,4,2,6,3,10,3,9,27,0.047,,
1,NA,30,1.5,1,2,12,11,23,1,23,23,0.040,,
1,NA,31,1.5,1,2,11,10,21,1,21,21,0.036,,
1,NA,32,3,3,3,11,10,21,1,21,21,0.036,,
1,NA,33,3,2,4,6,4,10,2,10,20,0.035,,
1,NA,34,2,2,2,10,9,19,1,19,19,0.033,,
1,NA,35,3,4,2,5,3,9,2,8,16,0.028,,
1,NA,36,4,5,3,8,7,17,1,15,15,0.026,,
1,NA,37,3.5,4,3,7,6,14,1,13,13,0.023,,
1,NA,38,2.5,2,3,7,6,13,1,13,13,0.023,,
1,NA,39,3.5,5,2,7,6,13,1,13,13,0.023,,
1,NA,40,2.5,2,3,5,4,9,1,9,9,0.016,,
1,NA,41,3.5,4,3,4,3,7,1,7,7,0.012,,
1,NA,42,1,1,1,3,2,5,1,5,5,0.009,,
1,NA,43,3.5,3,4,1,0,1,1,1,1,0.002,,
1,NA,44,3.5,4,3,6,6,12,0,12,0,0.000,,
1,NA,45,3.5,3,4,11,11,34,0,22,0,0.000,,
1,NA,46,2,3,1,8,8,16,0,16,0,0.000,,
1,NA,47,2.5,2,3,5,5,11,0,10,0,0.000,,
1,NA,48,2.5,1,4,9,9,18,0,18,0,0.000,,
1,NA,49,1.5,2,1,4,4,8,0,8,0,0.000,,
