Number,Study name,Subgroup within study,Ego-Depletion Mean ,Ego-Depletion Std-Dev ,Ego-Depletion Sample size ,Control Mean ,Control Std-Dev ,Control Sample size ,Effect direction,Std diff in means,Std Err,Hedges's g,Std Err,Difference in means,Std Err,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AL,AM,AN,AO,AP,AQ,AR,AS
1,Birt & Muise,English,0.291,0.091,47,0.275,0.088,49,1,0.178809603,0.204575865,0.177379126,0.202939258,0.016,1.83E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Calvillo & Mills,English,0.323,0.107,60,0.308,0.148,64,1,0.115562906,0.179848594,0.11485102,0.178740697,0.015,0.023324806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Carruth & Miyake,English,0.333,0.127,87,0.327,0.129,91,1,4.69E-02,0.149964774,4.67E-02,0.14932481,6.00E-03,1.92E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Crowell, Finley & Schmeichel",English,0.276,0.11,62,0.296,0.173,62,1,-0.137965489,0.179818843,-0.137115599,0.17871113,-0.02,2.60E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Evans, Fay & Mosser",English,0.313,0.163,75,0.33,0.123,76,1,-0.117843738,0.162902462,-0.117249568,0.162081105,-0.017,2.35E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Francis & Inzlicht,English,0.272,0.109,54,0.292,0.169,55,1,-0.140376133,0.191809094,-0.139389884,0.19046149,-0.02,2.73E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Hagger, Chatzisarantis & Zweinenberg",English,0.329,0.086,54,0.325,0.092,63,1,4.48E-02,0.185472671,4.45E-02,0.184260431,0.004,1.66E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Lau & Brewer,English,0.336,0.185,64,0.287,0.105,64,1,0.325763023,0.177945321,0.323820102,0.176884017,0.049,2.66E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Lynch, VanDellen & Campbell",English,0.289,0.14,71,0.269,0.121,68,1,0.152610427,0.169924001,0.151773441,0.16899206,0.02,2.22E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Philipp & Cannon,English,0.308,0.076,43,0.324,0.138,41,1,-0.144571915,0.218564564,-0.143245567,0.216559385,-0.016,2.42E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Ringos & Carlucci,English,0.319,0.108,47,0.29,0.104,48,1,0.273591713,0.206164714,0.271379381,0.204497614,0.029,2.18E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Tinghög & Koppel,English,0.283,0.077,49,0.273,0.092,50,1,0.117772911,0.201191988,0.116859942,0.19963236,1.00E-02,0.017068256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Brandt,Non-English,0.281,0.091,75,0.296,0.098,70,1,-0.158826935,0.166451296,-0.157992467,0.16557677,-0.015,1.57E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Cheung, Kroese, Fennis & de Ridder",Non-English,0.313,0.088,101,0.316,0.096,102,1,-3.26E-02,0.140383491,-0.032449202,0.13985902,-0.003,1.29E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Elson,Non-English,0.32,0.09,50,0.305,0.078,51,1,0.178245622,0.199411955,0.176891858,0.197897434,0.015,1.67E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"Lange, Heise & Hoemann",Non-English,0.284,0.081,60,0.29,0.087,59,1,-7.14E-02,0.183404586,-7.09E-02,0.182226398,-6.00E-03,1.54E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"Muller, Zerhouni & Batailler",Non-English,0.345,0.109,54,0.386,0.098,55,1,-0.395773181,0.193439531,-0.392992573,0.192080472,-0.041,1.98E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"Otgaar, Martijn, Alberts, Michirev, Merckelbach & Howe",Non-English,0.29,0.112,48,0.309,0.097,50,1,-0.181622086,0.202488598,-0.180199459,0.200902525,-0.019,2.11E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"Rentzsch, Nalis & Schütz",Non-English,0.291,0.088,62,0.296,0.077,58,1,-6.03E-02,0.182717214,-6.00E-02,0.18155341,-0.005,1.51E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"Schlinkert, Schrama & Koole",Non-English,0.341,0.123,52,0.324,0.124,51,1,0.137656212,0.197308385,0.136631476,0.195839588,0.017,2.43E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"Stamos, Bruyneel & DeWitte",Non-English,0.286,0.094,58,0.303,0.091,56,1,-0.183706449,0.187740619,-0.18247352,0.186480615,-0.017,1.73E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"Ullrich, Primoceri & Schoch",Non-English,0.306,0.096,57,0.283,0.071,57,1,0.272413583,0.188183947,0.270585304,0.186920968,0.023,0.015815271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"Wolff, Muzzi & Brand",Non-English,0.307,0.095,51,0.299,0.089,54,1,8.70E-02,0.195351987,8.64E-02,0.19392606,8.00E-03,1.80E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"Yusainy, Wimbarti, Nurwanti & Octavianus",Non-English,0.28,0.087,97,0.283,0.122,99,1,-0.02826643,0.142871714,-2.82E-02,0.142318662,-3.00E-03,1.52E-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
