"","Number","Study.name","Subgroup.within.study","Ego.Depletion.Mean","Ego.Depletion.Std.Dev","Ego.Depletion.Sample.size","Control.Mean","Control.Std.Dev","Control.Sample.size","Effect.direction","Std.diff.in.means","Std.Err","Hedges.s.g","Std.Err.1","Difference.in.means","Std.Err.2","P","Q","R","S","T","U","V","W","X","Y","Z","AA","AB","AC","AD","AE","AF","AG","AH","AI","AJ","AK","AL","AM","AN","AO","AP","AQ","AR","AS","yi","vi"
"1",1,"Birt & Muise","English",0.291,0.091,47,0.275,0.088,49,1,0.178809603,0.204575865,0.177379126,0.202939258,0.016,0.0183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.177378488702826,0.0418486294696458
"2",2,"Calvillo & Mills","English",0.323,0.107,60,0.308,0.148,64,1,0.115562906,0.179848594,0.11485102,0.178740697,0.015,0.023324806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11485077573797,0.0323448549758909
"3",3,"Carruth & Miyake","English",0.333,0.127,87,0.327,0.129,91,1,0.0469,0.149964774,0.0467,0.14932481,0.006,0.0192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0466652081239292,0.0224893808334991
"4",4,"Crowell, Finley & Schmeichel","English",0.276,0.11,62,0.296,0.173,62,1,-0.137965489,0.179818843,-0.137115599,0.17871113,-0.02,0.026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.137115307644698,0.0323338734177036
"5",5,"Evans, Fay & Mosser","English",0.313,0.163,75,0.33,0.123,76,1,-0.117843738,0.162902462,-0.117249568,0.162081105,-0.017,0.0235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.117249400813303,0.0265367493350466
"6",6,"Francis & Inzlicht","English",0.272,0.109,54,0.292,0.169,55,1,-0.140376133,0.191809094,-0.139389884,0.19046149,-0.02,0.0273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.139389497763292,0.0367894625355968
"7",7,"Hagger, Chatzisarantis & Zweinenberg","English",0.329,0.086,54,0.325,0.092,63,1,0.0448,0.185472671,0.0445,0.184260431,0.004,0.0166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0445074946716335,0.0343999998491495
"8",8,"Lau & Brewer","English",0.336,0.185,64,0.287,0.105,64,1,0.325763023,0.177945321,0.323820102,0.176884017,0.049,0.0266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.323819457102345,0.0316596056281174
"9",9,"Lynch, VanDellen & Campbell","English",0.289,0.14,71,0.269,0.121,68,1,0.152610427,0.169924001,0.151773441,0.16899206,0.02,0.0222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.151773185411297,0.0288732494664533
"10",10,"Philipp & Cannon","English",0.308,0.076,43,0.324,0.138,41,1,-0.144571915,0.218564564,-0.143245567,0.216559385,-0.016,0.0242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.143244889489816,0.047768195346195
"11",11,"Ringos & Carlucci","English",0.319,0.108,47,0.29,0.104,48,1,0.273591713,0.206164714,0.271379381,0.204497614,0.029,0.0218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.271378384893116,0.04249754080321
"12",12,"Tinghög & Koppel","English",0.283,0.077,49,0.273,0.092,50,1,0.117772911,0.201191988,0.116859942,0.19963236,0.01,0.017068256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.116859548283316,0.0404771337401798
"13",13,"Brandt","Non-English",0.281,0.091,75,0.296,0.098,70,1,-0.158826935,0.166451296,-0.157992467,0.16557677,-0.015,0.0157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.157992223270121,0.0277051219039229
"14",14,"Cheung, Kroese, Fennis & de Ridder","Non-English",0.313,0.088,101,0.316,0.096,102,1,-0.0326,0.140383491,-0.032449202,0.13985902,-0.003,0.0129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0324491770633758,0.0197075051383075
"15",15,"Elson","Non-English",0.32,0.09,50,0.305,0.078,51,1,0.178245622,0.199411955,0.176891858,0.197897434,0.015,0.0167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17689128568066,0.0397627467360161
"16",16,"Lange, Heise & Hoemann","Non-English",0.284,0.081,60,0.29,0.087,59,1,-0.0714,0.183404586,-0.0709,0.182226398,-0.006,0.0154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0709459654653965,0.0336369676544842
"17",17,"Muller, Zerhouni & Batailler","Non-English",0.345,0.109,54,0.386,0.098,55,1,-0.395773181,0.193439531,-0.392992573,0.192080472,-0.041,0.0198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.392991485190853,0.037408787651862
"18",18,"Otgaar, Martijn, Alberts, Michirev, Merckelbach & Howe","Non-English",0.29,0.112,48,0.309,0.097,50,1,-0.181622086,0.202488598,-0.180199459,0.200902525,-0.019,0.0211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.180198837969519,0.0409990048700964
"19",19,"Rentzsch, Nalis & Schütz","Non-English",0.291,0.088,62,0.296,0.077,58,1,-0.0603,0.182717214,-0.06,0.18155341,-0.005,0.0151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0599517869241833,0.0333853874715569
"20",20,"Schlinkert, Schrama & Koole","Non-English",0.341,0.123,52,0.324,0.124,51,1,0.137656212,0.197308385,0.136631476,0.195839588,0.017,0.0243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.136631050871829,0.0389292339411423
"21",21,"Stamos, Bruyneel & DeWitte","Non-English",0.286,0.094,58,0.303,0.091,56,1,-0.183706449,0.187740619,-0.18247352,0.186480615,-0.017,0.0173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.182473059109279,0.0352445590854732
"22",22,"Ullrich, Primoceri & Schoch","Non-English",0.306,0.096,57,0.283,0.071,57,1,0.272413583,0.188183947,0.270585304,0.186920968,0.023,0.015815271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.270584621182961,0.035408842268512
"23",23,"Wolff, Muzzi & Brand","Non-English",0.307,0.095,51,0.299,0.089,54,1,0.087,0.195351987,0.0864,0.19392606,0.008,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0863576586901628,0.0381618742520327
"24",24,"Yusainy, Wimbarti, Nurwanti & Octavianus","Non-English",0.28,0.087,97,0.283,0.122,99,1,-0.02826643,0.142871714,-0.0282,0.142318662,-0.003,0.0152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0281569878510145,0.0204123109412318
