study,study.type,study.info,study.symbol,N,r,d,var,IVs,DV,notes
"Gaillot, Baumeister et al. (2007) Study 7",original,original1,1,61,0.28,-1.19,0.07,"sugar vs. splenda
video attention task vs. control",stroop performance,
     Cesario & Corker (2010),replication,replication1,15,119,0.03,0.22,0.03,"sugar vs. splenda
video attention task vs. control",stroop performance,
Wang & Dvorak (2010),original,original2,1,61,0.45,-0.99,0.07,"sugar vs. splenda
future-discounting t1 vs. t2",future-discounting task,
     Lange & Eggert (2014) Study 1,replication,replication2,15,70,0.13,0.132,0.06,"sugar vs. splenda
future-discounting t1 vs. t2",future-discounting task,
"Muraven, Tice, & Baumeister (1998) Study 2 ",original,original3,1,34,-0.35,-0.75,0.13,thought suppression vs. control,anagram performance,
     Murtagh & Todd (2004) Study 2,replication,replication3,15,51,-0.01,-0.01,0.08,thought suppression vs. control,anagram performance,
"Schmeichel, Vohs, & Baumeister (2003) Study 1 ",original,original4,1,24,-0.64,-1.58,0.22,video attention task vs. control,GRE standardized test,
     Pond et al. (2011) Study 3,replication,replication4,15,128,-0.17,-0.35,0.07,video attention task vs. control,GRE standardized test,
Schmeichel (2007) Study 1,original,original5,1,79,-0.18,-0.37,0.05,video attention task vs. control,working memory (OSPAN),total target words recalled (48 targets total)
     Healy et al. (2011) Study 1 ,replication,replication5,15,38,-0.55,-1.31,0.13,video attention task vs. control,working memory (OSPAN),% of target words recalled (48 targets total)
"     Carter & McCullough (2013, controls)",replication,replication5,15,138,0.027,0.0549,0.0541,video attention task vs. control,working memory (OSPAN),total target words recalled (48 targets total) *weighted by ns of sucralose and unsweetened control conditions
     Lurquin et al. (2016),replication,replication5,15,200,0.1,0.21,0.02,video attention task vs. control,working memory (OSPAN),total target words recalled (40 targets total)
Inzlicht & Gutsell (2007),original,original6,1,33,,-1.06,0.13,emotion suppression (video) vs. control,EEG ERN during stroop task,
"     Wang, Yang, & Wang (2014)",replication,replication6,15,31,,-0.93,0.14,emotion suppression (video) vs. control,EEG ERN during stroop task,
"Sripada, Kessler, & Jonides (2014) ",original,original7,1,47,-0.33,-0.69,0.09,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
     Ringos & Carlucci,replication,replication7,15,68,,-0.497432771,0.060847158,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
"     Wolff, Muzi & Brand",replication,replication7,15,87,,-0.46068846,0.047943677,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
     Calvillo & Mills,replication,replication7,15,75,,-0.439348508,0.054705635,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
"     Crowell, Finley & Schmeichel",replication,replication7,15,73,,-0.399033523,0.056143378,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
"     Lynch, vanDellen & Campbell",replication,replication7,15,79,,-0.358325022,0.05164918,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
     Birt & Muise,replication,replication7,15,59,,-0.312389894,0.068799346,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
"     Yusainy, Wimbarti, Nurwanti & Anggono",replication,replication7,15,156,,-0.216158754,0.025858393,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
     Lau & Brewer,replication,replication7,15,99,,-0.199923066,0.040709228,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
"     Ullrich, Primoceri & Schoch",replication,replication7,15,103,,-0.0945,0.038911302,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
     Elson,replication,replication7,15,90,,-0.0443,0.044653752,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
"     Cheung, Kroese, Fennis & de Ridder",replication,replication7,15,181,,-0.0407,0.022110085,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
"     Hagger, Chatzisarantis & Zwienenberg",replication,replication7,15,101,,0,0.039920949,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
"     Schlinkert, Schrama & Koole",replication,replication7,15,79,,0,0.051033592,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
     Philipp & Cannon,replication,replication7,15,75,,0.0396,0.053353259,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
     Carruth & Miyake,replication,replication7,15,126,,0.0944,0.032301703,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
     Brandt,replication,replication7,15,102,,0.108844341,0.039409925,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
"     Stamos, Bruyneel & Dewitte",replication,replication7,15,93,,0.122268765,0.043336188,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
"     Rentzsch, Nalis & Schütz",replication,replication7,15,103,,0.18144634,0.038998431,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
     Francis & Inzlicht,replication,replication7,15,50,,0.183407647,0.080851672,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
"     Lange, Heise & Hoemann",replication,replication7,15,106,,0.228762863,0.037996137,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
"     Evans, Fay & Mosser",replication,replication7,15,89,,0.2692997,0.045815589,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
     Tinghög & Koppel,replication,replication7,15,82,,0.396480795,0.049622326,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
"     Otgaar, Martijn, Alberts et al.",replication,replication7,15,69,,0.410332616,0.063947349,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
"     Muller, Zerhouni & Batailler",replication,replication7,15,78,,0.509902157,0.05465578,effortful letter crossing vs. control,multi-source interference task (MSIT; RTV),
