replication_type,replication_number,target_effect,original_authors_study_number,original_effect_size,replication_effect_size,replication_authors_study_number,replication_outcome,replication_outcome_bayesian,discipline,replication_method_differences,positive_control_evidence,IVs,DVs,other_outcomes,replication_open_materials_URL,replication_open_data_URL,replication_pre_reg_URL,original_study_article_URL,replication_study_article_URL,original_open_materials_URL,original_open_data_URL,original_pre_reg_URL,effect_description,design,effect_type,original_test_statistic,original_pvalue,original_N,replication_N,study_order_CS,RPP_study_number,Original_Article_Title
Reproducibility Project,1,Decreased liking for rebels compared to obedient confederates (in non-self-affirmed control condition) eliminated in self-affirmed condition ,Monin et al. (2008) Study 4,η²(N=67) = .241,η²(N=75) = .052,Holubar & Frank (2015) ,unsuccessful,,Social,,,,,,https://osf.io/pz0my/,https://osf.io/pz0my/,https://osf.io/a4fmg/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,"ANOVA, omnibus",main effect,"F(2, 64) = 10.17",<.01,67,75,1,43,The rejection of moral rebels: Resenting those who do the right thing.
Reproducibility Project,2,Positive relation between indirect ratings (AMP) and direct ratings (of Black vs. White faces) stronger in low (compared to high) pressure to respond in socially desirable manner conditions. ,Payne et al. (2008) Study 4,R²(N=70) = .09,R²(N=180) = .016,Vianello (2015),successful,,Social,,,,,,https://osf.io/rc6mv/,https://osf.io/rc6mv/,https://osf.io/79y8g/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,hierarchical multiple linear regression,correlation,t(67) = 3.08,<.01,70,180,2,44,Why do implicit and explicit attitude tests diverge? The role of structural fit.
Reproducibility Project,3,Younger respondents show greater variability (variance) in acquiescent response tendencies than older respondents. ,"Soto, John et al. (2008) Study 1","F(21, 230025)(N=230047) = 118.15","F(21, 455304)(N=455326) = 261.93",Soderberg (2015),successful,,Social,,,,,,https://osf.io/kez47/,https://osf.io/kez47/,https://osf.io/6zdct/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,Levene's test for equality of variance,main effect,"F(21, 230025) = 118.15",<.001,230047,455326,3,46,"The developmental psychometrics of big five self-reports: Acquiescence, factor structure, coherence, and differentiation from ages 10 to 20."
Reproducibility Project,4,Increased relative preference for parent among mortality-salience induced Ps scoring low on avoidance but high on anxiety compared to control conditions (dental pain) ,"Cox, Arndt et al. (2008) Study 6",f²(N=100) = .289,f²(N=200) = .05,"Wissink, Zeelenberg et al. (2015)",unsuccessful,,Social,,,,,,https://osf.io/5tbxf/,https://osf.io/5tbxf/,https://osf.io/uhnd2/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,independent samples t-test,main effect,t(92)= -2.22,0.03,100,200,4,48,Terror management and adults' attachment to their parents: The safe haven remains.
Reproducibility Project,5,Ps primed with action words correctly solved higher number of SAT-type verbal and math problems than Ps primed with inaction words. ,Albarracin  et al. (2008) Study 5,η²(N=36) = .143,η²(N=88) = .001,"Kim, Frank et al. (2015)",unsuccessful,,Social,,,,,,https://osf.io/vy1bc/,https://osf.io/vy1bc/,https://osf.io/2pbaf/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,ANOVA,main effect,"F(1, 34) = 5.68",0.02,36,88,5,49,Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.
Reproducibility Project,6,"Action-word primed Ps completing an inactive task generated a greater number of thoughts compared to inaction-primed Ps completing an active task, with no difference in thoughts in control conditions. ",Albarracin  et al. (2008) Study 7,η²(N=98) = .087,η²(N=105) = .049,Voracek & Sonnleitner (2015),unsuccessful,,Social,,,,,,https://osf.io/rgm6p/,https://osf.io/rgm6p/,https://osf.io/xbyqd/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,between ANOVA,interaction,"F(2, 92) = 4.36",0.02,98,105,6,50,Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.
Reproducibility Project,7,Affective coherence increased cognitive complexity in participant-generated narratives compared to affective incoherence. ,"Centerbar, Schnall et al. (2008) Study 5",η²(N=133) = .040,η²(N=113) = .014,"Humphries, Brown et al. (2015)",unsuccessful,,Social,,,,,,https://osf.io/l8srm/,https://osf.io/l8srm/,https://osf.io/wcgx5/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,RM ANOVA,interaction,"F(1, 131) = 5.79",<.02,133,113,7,52,Affective incoherence: When affective concepts and embodied reactions clash.
Reproducibility Project,8,Low-prejudice Ps whose non-prejudiced responses were motivated by internal (but not external) factors exhibited better control on a stereotype-inhibition task than did Ps motivated by a combination of internal and external factors ( and these group differences were specific to response control in the domain of prejudice). ,"Amodio, Devine et al. (2008) Study 2",η²(N=48) = .16,η²(N=75) = .006,"Johnson, Graham et al. (2015)",unsuccessful,,Social,,,,,,https://osf.io/wkgpq/,https://osf.io/wkgpq/,https://osf.io/ysxmf/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,mixed ANOVA,interaction,"F(1, 31) = 5.14",0.03,48,75,8,53,Individual differences in the regulation of intergroup bias: The role of conflict monitoring and neural signals for control.
Reproducibility Project,9,"Action-oriented mindset caused attitude changes from pre- to post-decision to both chosen and rejected alternatives, whereas positive-nonaction and neutral mindsets caused attitude changes solely to rejected alternative. ",Harmon-Jones et al. (2008) Study 2,η²(N=57) = .11,η²(N=71) = .01,Gable & Mechin (2015),unsuccessful,,Social,,,,,,https://osf.io/su6bm/,https://osf.io/su6bm/,https://osf.io/zpwne/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,RM ANOVA,interaction,"F(2, 54) = 3.19",<.05,57,71,9,55,Left frontal cortical activation and spreading of alternatives: Tests of the action-based model of dissonance.
Reproducibility Project,10,"Ps made lower bargaining offers to angry (compared to happy) recipients than happy, but only when consequences of rejection were low. ","van Dijk, van Kleef et al. (2008) Study 3",η²(N=103) = .143,d(N=83) = .082,Voracek & Slowik (2015),unsuccessful,,Social,,,,,,https://osf.io/xtsq6/,https://osf.io/xtsq6/,https://osf.io/2idfu/,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,,,,,ANOVA,main effect,"F(1, 99) = 16.62",<.0001,103,83,10,56,A social functional approach to emotions in bargaining: when communicating anger pays and when it backfires.
