rep.num,original.study.number,original.effect.size,replication.effect.size,replication.study.number,outcome,target.effect,rep.effort.type,IVs,DVs,replication.type,replication.method.differences,replication.positive.control.evidence,other.outcomes,discipline,rep.num.in.set,original.study.article.URL,replication.study.article.URL,replication.open.data.URL,replication.open.materials.URL,replication.pre.reg.URL,original.open.data.URL,original.open.materials.URL,original.pre.reg.URL,effect.description,design,statistical.effect.type,original.test.statistic,original.pvalue,original.N,replication.N,outcome.bayesian,study.order.CS,RPP.study.number,original.article.title
1,Monin et al. (2008) Study 4,η²(N=67) = .241,η²(N=75) = .052,Holubar & Frank (2015) ,unsuccessful,rebel vs obedient liking effect,Replicability Project,,,very close,,,,social,1,http://www.ask-force.org/web/Discourse/Monin-Rejection-Moral-Rebels-2008.pdf,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/pz0my/,https://osf.io/pz0my/,https://osf.io/a4fmg/,,,,Decreased liking for rebels compared to obedient confederates (in non-self-affirmed control condition) eliminated in self-affirmed condition ,"ANOVA, omnibus",main effect,"F(2, 64) = 10.17",<.01,67,75,,1,43,The rejection of moral rebels: Resenting those who do the right thing.
2,Payne et al. (2008) Study 4,R²(N=70) = .09,R²(N=180) = .016,Vianello (2015),successful,implicit-explicit correspondence effect,Replicability Project,,,very close,,,,social,2,https://pdfs.semanticscholar.org/0b28/0b8e08cd35cce13fc6cca1a25dc2b9a7e696.pdf,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/rc6mv/,https://osf.io/rc6mv/,https://osf.io/79y8g/,,,,Positive relation between indirect ratings (AMP) and direct ratings (of Black vs. White faces) stronger in low (compared to high) pressure to respond in socially desirable manner conditions. ,hierarchical multiple linear regression,correlation,t(67) = 3.08,<.01,70,180,,2,44,Why do implicit and explicit attitude tests diverge? The role of structural fit.
3,"Soto, John et al. (2008) Study 1","F(21, 230025)(N=230047) = 118.15","F(21, 455304)(N=455326) = 261.93",Soderberg (2015),successful,young acquiescent variability effect,Replicability Project,,,very close,,,,social,3,https://pdfs.semanticscholar.org/0f4f/d4199114ba21c832edc1800d92fd5c5f4034.pdf,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/kez47/,https://osf.io/kez47/,https://osf.io/6zdct/,,,,Younger respondents show greater variability (variance) in acquiescent response tendencies than older respondents. ,Levene's test for equality of variance,main effect,"F(21, 230025) = 118.15",<.001,230047,455326,,3,46,"The developmental psychometrics of big five self-reports: Acquiescence, factor structure, coherence, and differentiation from ages 10 to 20."
4,"Cox, Arndt et al. (2008) Study 6",f²(N=100) = .289,f²(N=200) = .05,"Wissink, Zeelenberg et al. (2015)",unsuccessful,anxious attachment mortality effect,Replicability Project,,,very close,,,,social,4,,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/5tbxf/,https://osf.io/5tbxf/,https://osf.io/uhnd2/,,,,Increased relative preference for parent among mortality-salience induced Ps scoring low on avoidance but high on anxiety compared to control conditions (dental pain) ,independent samples t-test,main effect,t(92)= -2.22,0.03,100,200,,4,48,Terror management and adults' attachment to their parents: The safe haven remains.
5,Albarracin  et al. (2008) Study 5,η²(N=36) = .143,η²(N=88) = .001,"Kim, Frank et al. (2015)",unsuccessful,action priming boosts cognitive performance,Replicability Project,,,very close,,,,social,5,https://pdfs.semanticscholar.org/dac5/23772e965444540d31e0fb743464fbb56b0e.pdf?_ga=2.187221102.756229126.1510337183-1264817730.1510337183,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/vy1bc/,https://osf.io/vy1bc/,https://osf.io/2pbaf/,,,,Ps primed with action words correctly solved higher number of SAT-type verbal and math problems than Ps primed with inaction words. ,ANOVA,main effect,"F(1, 34) = 5.68",0.02,36,88,,5,49,Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.
6,Albarracin  et al. (2008) Study 7,η²(N=98) = .087,η²(N=105) = .049,Voracek & Sonnleitner (2015),unsuccessful,action priming boosts # of thoughts effect,Replicability Project,,,very close,,,,social,6,https://pdfs.semanticscholar.org/dac5/23772e965444540d31e0fb743464fbb56b0e.pdf?_ga=2.187221102.756229126.1510337183-1264817730.1510337183,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/rgm6p/,https://osf.io/rgm6p/,https://osf.io/xbyqd/,,,,"Action-word primed Ps completing an inactive task generated a greater number of thoughts compared to inaction-primed Ps completing an active task, with no difference in thoughts in control conditions. ",between ANOVA,interaction,"F(2, 92) = 4.36",0.02,98,105,,6,50,Increasing and decreasing motor and cognitive output: A model of general action and inaction goals.
7,"Centerbar, Schnall et al. (2008) Study 5",η²(N=133) = .040,η²(N=113) = .014,"Humphries, Brown et al. (2015)",unsuccessful,affective incoherence effect,Replicability Project,,,very close,,,,social,7,https://pdfs.semanticscholar.org/7f67/facff28bac9ae369ec0e635863c25fa147e3.pdf?_ga=2.187221102.756229126.1510337183-1264817730.1510337183,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/l8srm/,https://osf.io/l8srm/,https://osf.io/wcgx5/,,,,Affective coherence increased cognitive complexity in participant-generated narratives compared to affective incoherence. ,RM ANOVA,interaction,"F(1, 131) = 5.79",<.02,133,113,,7,52,Affective incoherence: When affective concepts and embodied reactions clash.
8,"Amodio, Devine et al. (2008) Study 2",η²(N=48) = .16,η²(N=75) = .006,"Johnson, Graham et al. (2015)",unsuccessful,intergroup bias regulation effect,Replicability Project,,,very close,,,,social,8,https://pdfs.semanticscholar.org/f071/dae9159b3f93e540c928692dfbd6097bc1bf.pdf?_ga=2.187221102.756229126.1510337183-1264817730.1510337183,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/wkgpq/,https://osf.io/wkgpq/,https://osf.io/ysxmf/,,,,Low-prejudice Ps whose non-prejudiced responses were motivated by internal (but not external) factors exhibited better control on a stereotype-inhibition task than did Ps motivated by a combination of internal and external factors.,mixed ANOVA,interaction,"F(1, 31) = 5.14",0.03,48,75,,8,53,Individual differences in the regulation of intergroup bias: The role of conflict monitoring and neural signals for control.
9,Harmon-Jones et al. (2008) Study 2,η²(N=57) = .11,η²(N=71) = .01,Gable & Mechin (2015),unsuccessful,action-oriented mindset dissonance effect,Replicability Project,,,very close,,,,social,9,https://pdfs.semanticscholar.org/df6f/78f60a3aef237604e02636657343f0e4e974.pdf?_ga=2.227535963.756229126.1510337183-1264817730.1510337183,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/su6bm/,https://osf.io/su6bm/,https://osf.io/zpwne/,,,,"Action-oriented mindset caused attitude changes from pre- to post-decision to both chosen and rejected alternatives, whereas positive-nonaction and neutral mindsets caused attitude changes solely to rejected alternative. ",RM ANOVA,interaction,"F(2, 54) = 3.19",<.05,57,71,,9,55,Left frontal cortical activation and spreading of alternatives: Tests of the action-based model of dissonance.
10,"van Dijk, van Kleef et al. (2008) Study 3",η²(N=103) = .143,d(N=83) = .082,Voracek & Slowik (2015),unsuccessful,anger communication bargaining effect,Replicability Project,,,very close,,,,social,10,https://pdfs.semanticscholar.org/16af/db45ada4a1951aa464be49ef82ac6eebf0c1.pdf?_ga=2.227535963.756229126.1510337183-1264817730.1510337183,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/xtsq6/,https://osf.io/xtsq6/,https://osf.io/2idfu/,,,,"Ps made lower bargaining offers to angry (compared to happy) recipients than happy, but only when consequences of rejection were low. ",ANOVA,main effect,"F(1, 99) = 16.62",<.0001,103,83,,10,56,A social functional approach to emotions in bargaining: when communicating anger pays and when it backfires.
11,Lemay & Clark (2008a) Study 5,η²(N=186) = .028,η²(N=280) = .001,Baranski (2015),unsuccessful,walking on eggshells effect,Replicability Project,,,very close,,,,social,11,https://pdfs.semanticscholar.org/7d50/911e5a1e8199449e74e82ab7515c33695ff8.pdf?_ga=2.227535963.756229126.1510337183-1264817730.1510337183,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/ke43j/,https://osf.io/ke43j/,https://osf.io/efjn3/,,,,"Ps believed confederate's expressions were happier than their private feelings, but only in vulnerable conditions. ",RM ANOVA,interaction,"F(1, 182) = 5.24",<.05,186,280,,11,58,Walking on eggshells: How expressing relationship insecurities perpetuates them.
