ParticipNumber,Time,Condition,PostDesire,PostPay,DoveDesire,DovePay,ColgateDesire,ColgatePay,InnocentDesire,InnocentPay,EnergizeDesire,EnergizePay,SonyCDDesire,SonyCDPay,WindexDesire,WindexPay,DettollDesire,DettollPay,SnickersDesire,SnickersPay,SurfDesire,SurfPay,CleanseDesire,CleansePay,ControlDesirability,Controlpay
23,1,1,5,2,6,3,3,2,7,4,4,2.5,2,1.5,4,3,4,3,1,1,5,2,4.4,2.6,3.8,1.75
21,1,1,5,2.5,5,2,6,2,6,3,3,3,2,1,1,2,3,3,6,.7,5,4.5,4,2.7,4.4,1.8
25,1,1,5,5,2,2,6,4,7,4,4,5,1,0,1,0,1,1,2,1,3,2,2.6,1.8,3.8,2.75
27,1,1,3,1.5,3,2,1,1,5,2,4,3,2,2,1,1,3,4,3,.6,1,1,1.8,1.8,3.4,1.775
29,1,1,1,0,5,1.5,6,3,5,2,4,5,1,0,5,3,7,5,5,.7,6,4,5.8,3.3,3.2,1.425
33,1,1,4,1,5,4,6,4,7,2.5,5,7,2,1,2,2,5,8,5,1,5,5,4.6,4.6,4.6,2.5
43,1,1,6,2.5,2,1,3,2,1,3,5,3,1,.5,1,4,2,4,4,1.5,3,6,2.2,3.4,3.4,1.875
41,1,1,5,2.5,6,2.5,5,1,6,1.9,3,1.5,1,0,1,2,1,2,2,.8,3,2,3.2,1.9,3.4,1.2
35,1,1,3,1,5,1.5,4,2,6,1,2,1,1,.5,5,3,6,2,1,.3,2,2,4.4,2.1,2.6,.7
37,1,1,6,1,1,1,7,2,6,2,6,4,2,2,1,2,2,1,6,.6,5,2,3.2,1.6,5.2,1.9
39,1,1,3,1,2,2.75,4,2.5,2,2,1,1.75,1,1.99,5,3,2,2.5,3,1,4,4,3.4,2.95,2,1.435
59,1,1,6,.8,5,2.9,6,2,6,1.5,4,4,1,0,2,3,2,3,4,.6,4,4,3.8,2.98,4.2,1.35
53,1,1,2,.5,4,2,5,2,5,2.5,4,2,4,3,2,3,4,2.5,3,.7,4,2.5,3.8,2.4,3.6,1.55
57,1,1,6,2.5,3,1.5,4,1.5,5,1.8,3,3,1,2,2,1.5,2,2,2,.5,1,2,2.4,1.7,3.4,2
55,1,1,2,1,1,1,5,3,2,2,5,5,4,2,1,2,1,2,6,1,3,4,2.2,2.4,3.8,2.25
