V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Time1_1,Time1_2,Time1_3,Time1_4,Consent,Time2_1,Time2_2,Time2_3,Time2_4,Immoral1,Immoral2,Immoral3,Condition,Time3_1,Time3_2,Time3_3,Time3_4,Moral1,Moral2,Moral3,Time3_1.0,Time3_2.0,Time3_3.0,Time3_4.0,DV_1_1,DV_1_2,DV_1_3,DV_1_4,DV_1_5,DV_1_6,DV_1_7,DV_1_8,DV_1_9,DV_1_10,DV_2_1_1_TEXT,DV_2_4_1_TEXT,DV_2_5_1_TEXT,DV_2_6_1_TEXT,DV_2_9_1_TEXT,glasstext,disinfectantext,showertext,toothpastetext,laundrytext,Q25_1,Q25_2,Q25_3,Q25_4,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Time4_1,Time4_2,Time4_3,Time4_4,Q12,Gender,Q16,National,Ethnic_1,Ethnic_2,Ethnic_3,Ethnic_4,Ethnic_5,Ethnic_6,Ethnic_7,Ethnic_8,Ethnic_8_TEXT,Religious_1,Politics_1,Politics_2,Politics_3,Q26,shower,toothpaste,glass,disinfectant,laundry,age1,ControlDesire,Pricepay,Desirability
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
R_9MKiV84OXEuotMx,Default Response Set,Anonymous, , ,173.56.228.148,0,2/9/2013,2/9/2013,1,2.408,2.408,3.27,1,1,17.912,17.912,107.743,1,1,1,"Two years ago, I was up for a promotion against Chris.  He was working on a major case and couldn't find a zoning document needed to successfully argue the case.  One night, I found the document. I shredded it and secured my promotion.",1, , , , , , , ,7.765,60.167,62.829,20,4,6,5,2,4,1,5,6,3,6,2.00,1.00,4.00,1.00,1.00,3.00,3.00,1.29,2.00,8.00,9.366,29.332,31.368,7,8,8,7,8,6,2.552,16.363,17.142,8, ,2,41,American,1, , , , , , , , ,1,2,3,2,2150,1,2,3,3,8,41,2.8,3.4,5.6
R_ehV26WufUtpqIQJ,Default Response Set,Anonymous, , ,66.90.136.229,0,2/9/2013,2/9/2013,1,3.602,3.602,4.53,1,1,6.371,6.371,89.093,1,1,1,"Two years ago when I was a junior partner at a prestigious law firm, I was coming up for promotion against another junior partner, Chris. For several months Chris had been working on a major case for the city that would make or break his career at the fir. However, he could not locate a key zoning document, without which it was unlikely that he would have sufficient evidence to successfully argue his case. Late one evening as I was rummaging through a corner filing cabinet, I happened to come across the zning cofument that Chriss was in desperate need of. I pulled it from the cabinet and walked over to the office shredder, knowing that my promotion would now be secured.",1, , , , , , , ,275.655,309.784,312.284,25,5,7,4,2,5,2,4,5,5,4,4,2.50,6,3,1,3,3,5,4,4,4.984,24.494,29.866,5,8,8,8,8,3,2.143,16.447,17.711,10, ,2,21,American,1, , , , , , , , ,5,2,1,1,2174,5,4,3,3,4,21,3.8,3.8,4.8
R_2nti3fRgmZjMqpf,Default Response Set,Anonymous, , ,96.254.178.253,0,2/9/2013,2/9/2013,1,3.285,3.285,6.901,1,1,3.64,287.512,305.427,4,1,1,"Two years ago when I was a junior partner at a prestigious law firm, I was coming up for promotion against another junior partner, Chris. For several months, Chris had been working on a major case for the city that would make or break his career at the fim. However, he could not locate a key zoning document, without which it was unlikely that he would have sufficient evidence to successfully argue his case. Late one evening, as I was rummaging through a corner filing cabinet, I happened to come across thezoning document that Chris was in desperate need of. I pulled it from the cabinet and walked over to the office shredder knowing that my promotion would now be secured.",1, , , , , , , ,8.431,75.527,78.261,20,2,3,3,1,3,3,2,3,2,3,5,2,5,5,.50,4,3,3,4,5,16.415,51.422,56.248,5,7,8,8,7,7,2.306,30.486,31.733,9, ,1,27,American, , ,1, , , , , , ,1,2,2,3,212,3,4,4,3,5,27,2.2,3.8,2.8
R_5nzs8jPJIS3a6Xj,Default Response Set,Anonymous, , ,174.106.2.29,0,2/9/2013,2/9/2013,1,50.229,50.229,52.153,1,1,59.101,294.685,337.806,5,1,1,"Two years ago, when I was a junior partner at a pretigious law firm, I was coming up for promotion against another junior partner, Chris.  For several months, Chris had been working on a major case for the city that would make or break his career at the frm.  However, he could not locate a key zoning document, without which it was unlikely that he would have sufficient evidence to sucessfully argue his case.  Late one evening as I was rummaging through a corner filing cabinet, I happened to come across th zoning document that Chris was in desperate need of.  I pulled it from the cabinet and walked over to the office shredder knowing that my promotion would now be secured.",1, , , , , , , ,13.853,157.302,169.072,26,6,6,6,1,6,5,6,4,5,5,2.98,1.50,4.99,4.99,1.00,4.00,1.50,1.98,3.98,5.95,26.447,52.862,61.632,5,8,8,8,8,8,4.37,51.147,56.023,9, ,2,57,American,1, , , , , , , , ,5,2,2,3,2194,1,3,4,1,5,57,4.6,2.8,5.4
R_0NZto9CQu4z7sjj,Default Response Set,Anonymous, , ,71.48.142.132,0,2/9/2013,2/9/2013,1,5.788,5.788,7.799,1,1,7.239,10.972,75.526,3,1,1,"Two years ago when I was a junior partner at a prestigious law firm, I was coming up for promotion against another junior partner, Chris. For several months chris had been working on a major case for the city that would make or break his career at the fir. However, he could not locate a key zoning document, without which it was unlikely that he would have sufficient evidence to successfully argue his case. Late one evening as I was rummaging through a corner filing cabinet I happened to come across the zoing document that Chris was in desperate need of. I pulled it from the cabinet and walked over to the office shredder knowing that my promotion would now be secured.",1, , , , , , , ,5.988,50.899,54.865,21,7,3,5,2,6,1,5,6,6,6,2,2,8,0,1,3,4,1,3,8,12.514,53.829,60.12,8,5,8,7,4,5,2.275,29.774,33.835,9, ,2,28,US,1, , , , , , , , ,1,4,1,7,212,1,3,3,4,8,28,4.4,3.8,5
R_cCojcJ4mzkBhmQt,Default Response Set,Anonymous, , ,208.54.85.199,0,2/9/2013,2/9/2013,1,80.06,80.757,82.67,2,1,36.241,362.823,582.018,8,1,1,"Two years ago, when I was a junior partner at a prestigious law firm, I was coming up for against another junior partner named, Chris. For several months, Chris had Bern working on a major case for the city that would make or break his career at the firm.However, he could not locate a key zoning document. Without the document,  it was unlikely that he would have sufficient evidence to successfully argue his case. Late one evening when I was rummaging through a corner filling cabinet , I came across the zoing document that Chris was in desperate need of. I pulled it from the cabinet and walked over to the office shredder. I knew my promotion would now be secured.",1, , , , , , , ,25.569,131.505,136.76,22,1,4,6,2,3,1,3,4,4,5,2,4,6,0,1,4,4,6,5,7,29.727,76.849,79.459,5,8,8,8,8,7,2.397,34.4,35.245,8, ,2,32,american,1, , , , , , , , ,1,2,1,2,2153,6,5,4,4,7,32,2.2,5.2,4.4
R_bOu5XDcEpNREeI5,Default Response Set,Anonymous, , ,76.254.45.19,0,2/9/2013,2/9/2013,1,1.168,1.168,2.487,1,1,20.221,148.301,152.33,8,1,1,"Two years ago, when I was a junior partner at a prestigious law firm, I was coming up for promotion against another junior partner, Chris.  For several months Chris had been working on a major case for the city that would make or break his career at the frm.  However he could not locate a key zoning document without which it was unlikely that he would have sufficient evidence to successfully argue his case.  Late one evening as I was rummaging through a corner filing cabinet, I happened to come across thezoning document that Chris was in desperate need of, I pulled it from the cabinet and walked over to the office shredder knowing that my promotion would now be secured.",1, , , , , , , ,10.977,58.488,60.716,21,2,5,5,6,6,1,4,1,1,1,1,3,3,1,1,5,5,3,3,6,31.958,71.996,73.529,5,2,5,6,4,6,2.442,24.368,25.635,11, ,2,67,usa,1, , , , , , , , ,1,4,4,4,214,3,3,5,5,6,67,3.2,4.4,3.2
R_3I43edvGkmPCzSR,Default Response Set,Anonymous, , ,67.165.94.77,0,2/9/2013,2/9/2013,1,14.342,14.342,28.346,1,1,19.87,173.846,222.429,5,1,1,"Two years ago, when I was a junior partner at a prestigious law firm, I was coming up for promotion against another junior partner Chris.  For several months, Chris had been working on a major case for the city that would make or break his career at the frm.  However, he could not locate a key zoning document without which it was unlikely that he would have suficient evidence to successfully argue his case.  Late one evening as I was rummaging through a corner filing cabinet I happened to come across the oning document that Chris was in desperate need of.  I pulled it from the cabinet and walked over to the office shredder, knowing that my promotion would now be secured.",1, , , , , , , ,12.14,60.803,62.867,24,5,2,5,5,5,1,6,4,2,6,3,2,3,0,1,3,3,1,3,10,12.09,46.251,47.192,5,3,8,8,8,6,2.518,27.668,28.979,8, ,2,31,USA,1, , , , , , , , ,1,2,1,2,21,1,3,3,3,10,31,3.6,4,4.6
R_39iMHseGEUeKr9b,Default Response Set,Anonymous, , ,24.91.196.157,0,2/9/2013,2/9/2013,1,1.084,1.084,4.272,1,1,10.995,312.159,335.257,5,1,1,"Two years ago, when I was a junior partner at a prestigious law firm, I was coming up for promotion against another junior partner, Chris. For several months, Chris had been working on a major case for the city that would make or break his career at the frm.  However, he could not locate a key zoning document without which it was unlikely that he would have sufficient evidence to successfully argue his case.  Late one evening, as I was rummaging through a corner filing cabinet I happened to come across th zoning document that Chris was in desperate need of.  I pulled it from the cabinet and walked over to the office shredder knowing that my promotion would now be secured.",1, , , , , , , ,6.366,77.824,81.099,26,2,4,1,6,6,1,7,2,5,6,1,2,12, ,1,4,2,2,1,6,23.942,122.12,135.754,11,1,8,8,6,6,1.637,25.873,29.556,8, ,1,28,American,1, , , , , , , , ,1,4,4,6,2159,2,1,4,2,6,28,4,3,4
