V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Time1_1,Time1_2,Time1_3,Time1_4,Consent,Time2_1,Time2_2,Time2_3,Time2_4,Immoral1,Immoral2,Immoral3,Time3_1,Time3_2,Time3_3,Time3_4,Moral1,Moral2,Condition,Moral3,Time3_1.0,Time3_2.0,Time3_3.0,Time3_4.0,DV_1_1,DV_1_2,DV_1_3,DV_1_4,DV_1_5,DV_1_6,DV_1_7,DV_1_8,DV_1_9,DV_1_10,DV_2_1_1_TEXT,DV_2_4_1_TEXT,DV_2_5_1_TEXT,DV_2_6_1_TEXT,DV_2_9_1_TEXT,showertext,toothpastetext,glasstext,disinfectantext,laundrytext,Q27_1,Q27_2,Q27_3,Q27_4,Taboo_1,Taboo_2,Taboo_3,Taboo_4,Taboo_5,Time4_1,Time4_2,Time4_3,Time4_4,Q12,Gender,Q16,National,Ethnic_1,Ethnic_2,Ethnic_3,Ethnic_4,Ethnic_5,Ethnic_6,Ethnic_7,Ethnic_8,Ethnic_8_TEXT,age1,Religious_1,Politics_1,Politics_2,Politics_3,VAR00001,Q26,shower,toothpaste,glass,disinfectant,laundry,Desirability,PricePay,ControlDesire
R_8JqsTYWCTHp3Vul,Default Response Set,Anonymous, , ,220.227.35.177,0,02/09/2013,02/09/2013,1,3.441,3.441,8.564,1,1,16.044,289.88,295.936,7,1,1,"Two years ago, When I was a junior partner at a Prestigious Law Firm I was coming up for Promotion against another Junior Partner, Chris for several months Chris had been working on a major case for the city that would make or break his career at the firm however he could not locate a key zoning document without which it was unlikely, that he would have sufficient evidence to successfully argue his case. Late one evening, As I was rummaging through a corner filing cabinet, I happened to come across the zoing document that Chris was in desperate need of, I pulled it from the cabinet and walked over to the office shredder knowing that my promotion would now be secured.", , , , , , ,1, ,19.534,74.965,75.555,24,3,5,6,7,2,1,2,6,2,2,2,5,1,1,1,3,3,1,2,1,17.461,70.916,71.495,5,7,8,8,1,8,2.059,32.461,33.326,8, ,1,29,India,1, , , , , , , , ,29,1,3,2,1, ,2126,3,3,1,2,1,4.2,2.366666667,3
R_e2QIerGjAcv0DeB,Default Response Set,Anonymous, , ,117.206.55.182,0,02/09/2013,02/09/2013,1,4.626,4.626,7.127,1,1,64.795,210.035,214.682,27,1,1,"Two  years ago, when I was a junior partner at a prestigious Law Firm, I was coming up for promotion against another junior partner Chris. For several months Chris had been working on a major case for the city that would make or break his career at the fim. However,he could not locate a key zoning document without which, it was unlikely that he would have sufficient evidence to successfully argue his case. Late one evening as I was rummaging through a corner filing cabinet I happened to come across the zoing document that Chris was in desperate need of. I pulled it from the cabinet and walked over to the office shredder knowing that my promotion would now be secured.", , , , , , ,1, ,31.598,49.444,72.758,12,1,6,6,1,4,2,4,2,2,5,0,0,5,0,0,1,2,1,0,3,12,21.237,22.386,5,8, ,8,8,8,1.906,22.491,23.174,9, ,2,32,Indian,1, , , , , , , , ,32,7,9,9,9, ,2163,1,2,1,0,3,4.6,1.933333333,2
R_bxheVRDPYE6WnDT,Default Response Set,Anonymous, , ,116.202.110.218,0,02/09/2013,02/09/2013,1,4.462,4.462,6.343,1,1,5.293,201.589,210.007,21,1,1,"Two years ago when I was a junior partner at a prestigious law firm, I was coming up for promotion against another junior partner Chris. For several months Chris had been working on a major case for the city that would make or break his career at the firm However he could not locate a key zoning document without which it was unlikely that he would have sufficient evidence to successfully argue his case. Late one evening as I was rummaging through a corner filing cabinet I happened to come across the zonin document that Chris was in desperate need of, I pulled it from the cabinet and walked over to the office shredder knowing that my promotion would now be secured.", , , , , , ,1, ,15.07,112.788,115.714,21,4,5,6,4,4,5,3,6,4,6,2,6,3,5,2,3,4,2,5,6,11.384,54.933,58.122,5,7,6,8,1,8,2.413,36.236,38.633,10, ,1,31,Indian,1, , , , , , , , ,31,5,5,4,6, ,2143,3,4,2,5,6,5.2,4.2,4.2
R_2tyohTkyzab1ruZ,Default Response Set,Anonymous, , ,122.178.145.125,0,02/09/2013,02/09/2013,1,53.677,53.677,55.677,1,1,38.911,38.911,361.953,1,1,1,"Two years ago when I was a junior partner at a prestigious law firm, I was coming up for promotion against another junior partner Chris. For several months Chris had been working on a major case for the city that would make or break his career  at the fir. However he could not locate a key zoning document without which it was unlikely that he could have sufficient evidence to successfully argue his case. Late one evening as I was rummaging through a corner filling cabinet I happened to come across the zonng document that Chrias was in desperate neeed off. I pulled it from the cabinet and walked over ot the office shredder knowing that my promotion would now be secured.", , , , , , ,1, ,41.71,171.58,175.023,18,2,7,7,2,2,1,4,1,2,7,1,2,2, ,1,1.5,2,2,0,2,42.547,86.939,88.47,5,8,8,8,8,8,7.445,55.63,57.533,8, ,2,50,Indian,1, , , , , , , , ,50,6,5,5,5, ,2196,1,2,2,0,2,5.2,2.033333333,1.8
R_d13KxyeOtNwRLoh,Default Response Set,Anonymous, , ,117.217.144.254,0,02/09/2013,02/09/2013,1,48.943,48.943,65.41,1,1,37.914,235.318,300.649,8,1,1,"Two years ago when I was a junior partner at a prestigious law firm, I was coming up for promotion against another junior partner Chris. For several months Chris had been working on a major case for the city that would make or break his career at the firm However, he could not locate a key zoning document without which it was unlikely that he would have sufficient evidence to successfully argue his case. Late one evening, as I was rummaging through a corner filing cabinet, I happened to come across the zoing document that Chris was in desperate need of. I pulled it from the cabinet and walked over to the office shredder knowing that my promotion would now be secured.", , , , , , ,1, ,26.16,124.432,126.115,24,5,6,7,6,7,5,5,6,4,7,1,3,2,4,1.5,1.5,2,2,3,3,20.364,96.649,98.43,6,4,7,7,6,8,3.419,50.599,52.931,8, ,1,30,Indian,1, , , , , , , , ,30,4,3,2,4, ,2162,1,2,2,3,3,6.2,2.866666667,5.4
R_aUUeOiqMjsJM6qx,Default Response Set,Anonymous, , ,117.192.22.199,0,02/09/2013,02/09/2013,1,31.999,31.999,32.765,1,1,29.876,135.129,140.444,7,1,1,"Two years ago, when I was a junior partner at a prestigious law firm, I was coming up for promotion against another junior partner Chris. For several months chris had been working on a major case for the city that would make or break his career at the fir, however he could not locate a key zoning document without which it was unlikely that he would have sufficient evidence to successfully argue his case. Late one evening as I was rummaging through a corner filing cabinet, I happened to come across the zonng document that Chris was in desperate need of. I pulled it from the cabinet and walked over to the office shredder knowing that my promotion would now be secured.", , , , , , ,1, ,36.963,78.724,81.285,22,5,5,6,3,4,4,3,4,5,6,1,1,1,2,2,2,2,2,2,3,33.138,46.901,48.164,5,8,8,8,8,8,17.82,45.487,46.367,10, ,2,27,Indian,1, , , , , , , , ,27,5,4,4,4, ,2175,2,2,2,2,3,4.8,2.633333333,4.2
R_5vXmPT2Q4BYnDBr,Default Response Set,Anonymous, , ,117.213.2.248,0,02/09/2013,02/09/2013,1, , , , ,1, , , , ,1,1,"Two years ago, when I was a junior partner at a prestigious law firm, I was coming up for promotion against another junior partner Chris. For several months Chris had been working on a major case for the city that would make or break his career at the fir.  However, he could not locate a key zoning document without which it was unlikely that he would have sufficient evidence to successfully argue his case. Late one evening as I was rummaging through a corner filing cabinet I happened to come across the zoing document that Chris was in desperate need of. I pulled it from the cabinet and walked over to the office shredder knowing that my promotion would now be secured.", , , , , , ,1, ,19.898,125.584,128.609,30,3,6,6,5,3,2,6,6,5,6,1,5,1,1,3,2,2,5,5,4,8.036,15.772,17.185,5,8,8,8,1,8,3.922,33.265,34.664,8, ,1,31,India,1, , , , , , , , ,31,5,5,5,5, ,2115,2,2,5,5,4,6,4,3.6
R_0VDgkSTWvFcSm4l,Default Response Set,Anonymous, , ,117.206.130.128,0,02/09/2013,02/09/2013,1,30.418,30.418,31.763,1,1,45.405,389.326,417.452,5,1,1,"Two years ago, when I was a junior partner at a prestigious law firm, I was coming up for promotion against another junior partner, Chris for several months. Chris had been working on a major case for the city that would make or break his career at the fim. However, he could not locate a key zoning document without which it was unlikely that he would have sufficient evidence to successfully argue his case. Late one evening as I was rummaging through a corner filing cabinet I happened to come across the zoing document that Chris was in desperate need of, I pulled it from the cabinet and walked over to the office shredder knowing that my promotion would be secured.", , , , , , ,1, ,25.096,92.661,95.461,22,2,5,6,7,5,2,6,4,6,7,2,10,6,5,2,5,5,8,4,7,41.489,89.943,90.706,6,8,8,8,8,8,4.27,48.956,50.011,8, ,1,29,Indian,1, , , , , , , , ,29,6,1,2,2, ,211,5,5,8,4,7,5.6,5.766666667,4.4
R_bdpRCZ593N1zPWB,Default Response Set,Anonymous, , ,219.64.185.65,0,02/09/2013,02/09/2013,1,15.451,15.451,17.15,1,1,50.739,330.545,333.06,22,1,1,"Two years ago when I was a junior partner at a prestigious law firm, I was coming up for promotion against another junior partner Chris. For several months Chris had been working on a major case for the city that would make or break his career at the firm however he could not locate a key zoning document without which it was unlikely that he would have sufficient evidence to successfully argue his case. Late one evening as I was rummaging through a corner filing cabinet, I happened to come across the zonig document that Chris was in desperate need of. I pulled it from the cabinet and walked over to the office shredder knowing that my promotion would now be secured.", , , , , , ,1, ,6.172,34.042,34.992,31,4,5,6,7,6,4,2,4,6,6,2,7,8,3,2,3,5,2,4,7,36.641,71.577,72.628,5,8,8,8,8,8,2.022,39.15,40.605,9, ,1,31,Indian,1, , , , , , , , ,31,6,2,2,2, ,2122,3,5,2,4,7,4.6,4.266666667,5.4
R_0PbU95ULBELnwaN,Default Response Set,Anonymous, , ,115.124.45.43,0,02/09/2013,02/09/2013,1,4.486,4.557,6.055,2,1,7.047,413.076,414.857,2,1,1,"Two years ago, when I was a junior partner at a prestigious law firm, I was coming up for promotion against another junior partner, Chris. For several months Chris had been working on a major case for the city that would make or break his career at the fim. However, he could not locate a key zoning document, without which it was unlikely that he would have sufficient evidence to successfully argue his case. Late one evening, as I was rummaging through a corner filing cabinet, I happened to come across thezoning document that Chris was in desperate need of. I pulled it from the cabinet and walked over to the office shredder knowing that my promotion would now be secured.", , , , , , ,1, ,18.145,51.721,56.134,20, , , , , , , , , , ,2,10,7,10,3,5,7,5,15,20,9.696,43.938,46.559,10,6,8,8,6,7,10.328,46.23,47.182,14, ,1,39,Indian,1, , , , , , , , ,39,2,3,5,3, ,2167,5,7,5,15,20, ,10.4, 
R_dbyZk7AVtdecpFz,Default Response Set,Anonymous, , ,117.221.128.149,0,02/09/2013,02/09/2013,1,6.777,6.777,8.42,1,1,22.543,39.31,42.937,4,1,1,"In this section, you will read a sample of writing that needs to be corrected for simple punctuation errors. You will then will be asked to re-type the paragraph correcting for any punctuation errors that you noticed to improve readabilit", , , , , , ,1, ,3.977,10.739,13.874,10,1,2,3,4,5,6,7,5,4,3, , , , , ,0,0,0,0,0,2.739,7.011,8.088,5,3,3,5,5,4,2.34,25.78,26.666,9, ,1,25,indian, , , , , , , ,1,india,25,3,6,5,8, ,2172,0,0,0,0,0,4,0.666666667,4
