journalID,journalName,acronym
1,Psychonomic Bulletin & Review,PBR
2,Science,S
3,Spanish Journal of Psychology,SJP
4,Basic and Applied Social Psychology,BASP
5,Journal of Articles Supporting the Null Hypothesis,JASNH
6,Journal of Personality and Social Psychology,JPSP
7,PLoS ONE,PLOS
8,Perspectives on Psychological Science,PPS
9,PsychFileDrawer,PFD
10,Emotion,E
11,Psychological Science,PS
12,The Quarterly Journal of Economics,QJE
13,Social Science Research Network,SSRN
14,Unpublished,UPBSHD
15,Journal Of Experimental Psychology: General,JEPG
16,Brain and Cognition,BC
17,Developmental Psychology,DP
18,Journal of Applied Social Psychology,JASP
19,American Economic Review,AER
20,Journal of Experimental Social Psychology,JESP
21,Social Psychology,SP
22,Proceedings of the National Academy of Sciences of the United States of America,PNAS
23,Nature,N
24,Visual Cognition,VC
25,Perception & Psychophysics,PP
26,Cognitive Neuropsychology,CN
27,Journal of Experimental Psychology: Human Learning and Memory,JEPHLM
28,Journal of Experimental Psychology: Human Perception and Performance,JEPHPP
29,Journal of Economic Literature,JEL
