doi,study,n,power,effectType,effectSize
10.1037/a0027598,1,40,55,d,0.78
10.1037/a0027598,2,36,45,d,0.72
10.1037/a0027598,3,40,35,d,0.95
10.1037/a0027598,4,30,48,d,0.66
10.3758/s13423-013-0549-2,1,240,99,d,0.18
10.3758/s13423-013-0549-2,2,90,96,d,-0.32
scicom1,1,314,99,d,0.18
10.1126/science.1130726,1,60,30,d,0.29
10.1126/science.1130726,2,27,86,d,1.08
10.1126/science.1130726,3,32,57,phi,0.38
10.1126/science.1130726,4,45,60,phi,0.33
10.5209/rev_SJOP.2011.v14.n1.13,1,47,25,d,0.08
10.5209/rev_SJOP.2011.v14.n1.13,2,36,94,d,0.02
10.5209/rev_SJOP.2011.v14.n1.13,3,45,72,phi,0.15
10.5209/rev_SJOP.2011.v14.n1.13,4,28,42,phi,0.19
scicom2,1,153,99,d,0.01
scicom2,2,156,99,d,0.03
scicom2,3,286,99,d,-0.05
scicom3,1,210,99,phi,0.03
scicom3,2,30,44,phi,0.02
10.1037/a0021524,1,100,80,d,0.25
10.1037/a0021524,2,150,79,d,0.2
10.1037/a0021524,3,100,80,d,0.25
10.1037/a0021524,4,99,63,d,0.2
10.1037/a0021524,5,100,71,d,0.22
10.1037/a0021524,6,150,52,d,0.14
10.1037/a0021524,7,200,35,d,0.09
10.1037/a0021524,8,100,60,d,0.19
10.1037/a0021524,9,75,97,d,0.42
10.1037/a0029709,1,112,68,d,-0.11
10.1037/a0029709,2,158,80,d,0.01
10.1037/a0029709,3,124,72,d,0.11
10.1037/a0029709,4,109,67,d,0.17
10.1037/a0029709,5,211,99,d,-0.05
10.1037/a0029709,6,175,99,d,-0.03
10.1037/a0029709,7,2469,99,d,-0.01
10.1037/a0022790,1,200,97,d,0.05
10.1371/journal.pone.0033423,1,50,90,d,.1?
10.1371/journal.pone.0033423,2,50,90,d,-.02?
10.1371/journal.pone.0033423,3,50,90,d,-.05?
10.1037/0022-3514.71.2.230,1,34,?,d,?
10.1037/0022-3514.71.2.230,2,30,?,d,1.08
10.1037/0022-3514.71.2.230,3,30,?,d,0.82
10.1037/0022-3514.71.2.230,4,41,?,d,?
10.1371/journal.pone.0029081,1,120,99,d,-0.07
10.1371/journal.pone.0029081,2,50,?,d,?
10.1037/0022-3514.75.4.862,1,42,?,d,?
10.1037/0022-3514.75.4.862,2,50,?,d,?
10.1037/0022-3514.75.4.862,3,37,?,d,?
10.1037/0022-3514.75.4.862,4,55,?,d,?
scicom4,1,66,?,d,?
10.1037/a0023527,1,51,99,r,0.57
10.1037/a0023527,2,41,78,r,0.37
10.1037/a0023527,3,75,?,r,?
10.1037/a0023527,4,176,?,r,?
10.1037/a0023527,5,60,?,r,?
scicom5,1,235,98,r,-0.06
scicom5,2,480,98,r,-0.01
scicom5,3,210,98,r,0.13
scicom5,4,228,98,r,-0.1
scicom5,5,494,98,r,0.1
scicom5,6,553,98,r,0.06
scicom5,7,311,98,r,0.02
scicom5,8,365,98,r,0.02
scicom5,9,197,98,r,-0.13
10.1111/j.1467-9280.2008.02084.x,1,73,?,d,?
10.1111/j.1467-9280.2008.02084.x,2,42,?,d,?
10.1111/j.1467-9280.2008.02084.x,3,59,?,d,?
10.1111/j.1467-9280.2008.02084.x,4,84,?,d,0.64
10.1371/journal.pone.0042510,1,71,?,d,?
10.1371/journal.pone.0042510,2,88,?,d,?
scicom6,1,412,99,d,-0.05
scicom7,1,177,?,d,0.31
scicom8,1,286,95,d,0.08
10.1037/0022-3514.74.4.865,1,60,?,d,?
10.1037/0022-3514.74.4.865,2,58,?,d,2.11
10.1037/0022-3514.74.4.865,3,95,?,d,?
10.1037/0022-3514.74.4.865,4,43,?,d,?
10.1371/journal.pone.0056515,1,40,80,d,-0.35
10.1371/journal.pone.0056515,2,16,45,d,-0.09
10.1371/journal.pone.0056515,3,44,82,d,0.14
10.1371/journal.pone.0056515,4,100,99,d,0.11
10.1371/journal.pone.0056515,5,49,87,d,-0.07
10.1371/journal.pone.0056515,6,32,71,d,0.12
10.1371/journal.pone.0056515,7,48,86,d,0.12
10.1371/journal.pone.0056515,8,80,97,d,0.38
10.1371/journal.pone.0056515,9,66,94,d,-0.08
scicom9,1,48,?,d,?
10.2307/25053899,1,55,?,d,?
10.2307/25053899,2,132,?,d,?
10.2307/25053899,3,90,?,d,?
10.2307/25053899,4,53,?,d,?
10.2307/25053899,5,44,?,d,?
10.2307/25053899,6,59,?,d,?
10.2139/ssrn.2352692,1,116,81,d,?
10.2139/ssrn.2352692,2,81,81,d,?
scicom10,1,137,?,d,?
